"drug","library","arm","drug_regulation","Term","Overlap","P.value","Adjusted.P.value","Combined.Score","Genes"
"chloramphenicol","DSigDB","UP","assoc","chloramphenicol CTD 00005627","1/22",0.152707030711896,0.785849644101707,11.9090225264124,"MMP3"
"mifepristone","DSigDB","UP","assoc","mifepristone TTD 00009307","1/22",0.152707030711896,0.785849644101707,11.9090225264124,"NPSR1"
"chenodeoxycholic","DSigDB","UP","assoc","chenodeoxycholic acid BOSS","1/22",0.152707030711896,0.785849644101707,11.9090225264124,"FGF19"
"benzene","DSigDB","UP","assoc","benzene BOSS","2/93",0.154284988441156,0.785849644101707,5.48391125345397,"MMP8;FEZF1"
"methotrexate","DSigDB","UP","assoc","methotrexate BOSS","3/182",0.156833974575292,0.785849644101707,4.15481195814821,"IGFBP1;MMP3;CGB5"
"indomethacin","DSigDB","UP","assoc","indomethacin","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"SLCO1B3"
"loratadine","DSigDB","UP","assoc","loratadine","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"NPSR1"
"bromocriptine","DSigDB","UP","assoc","bromocriptine","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"HTR2C"
"aripiprazole","DSigDB","UP","assoc","Aripiprazole","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"HTR2C"
"fluphenazine","DSigDB","UP","assoc","FLUPHENAZINE CTD 00005991","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"HTR2C"
"citrinin","DSigDB","UP","assoc","citrinin CTD 00005677","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"MMP3"
"pivampicillin","DSigDB","UP","assoc","pivampicillin PC3 DOWN","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"SSX1"
"chonsurid","DSigDB","UP","assoc","Chonsurid CTD 00005665","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"MMP3"
"methiothepin","DSigDB","UP","assoc","methiothepin CTD 00006295","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"HTR2C"
"nortriptyline","DSigDB","UP","assoc","nortriptyline CTD 00006426","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"HTR2C"
"ketanserin","DSigDB","UP","assoc","Ketanserin BOSS","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"HTR2C"
"apomorphine","DSigDB","UP","assoc","apomorphine CTD 00005433","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"HTR2C"
"gr-127935","DSigDB","UP","assoc","GR-127935 TTD 00008296","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"HTR2C"
"alloxan","DSigDB","UP","assoc","Alloxan BOSS","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"IGFBP1"
"deoxycholic","DSigDB","UP","assoc","DEOXYCHOLIC ACID BOSS","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"FGF19"
"quinacrine","DSigDB","UP","assoc","quinacrine TTD 00010448","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"NPSR1"
"chlorhexidine","DSigDB","UP","assoc","Chlorhexidine diacetate BOSS","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"MMP8"
"methiothepin","DSigDB","UP","assoc","methiothepin TTD 00009235","1/23",0.159068716522922,0.785849644101707,11.1202476352334,"HTR2C"
"cornstarch","DSigDB","UP","assoc","Cornstarch BOSS","2/95",0.159532788236245,0.785849644101707,5.26941125668394,"IGFBP1;FEZF1"
"cyproheptadine","DSigDB","UP","assoc","CYPROHEPTADINE","1/24",0.165382953337185,0.785849644101707,10.4110064950374,"HTR2C"
"haloprogin","DSigDB","UP","assoc","haloprogin","1/24",0.165382953337185,0.785849644101707,10.4110064950374,"HTR2C"
"propofol","DSigDB","UP","assoc","propofol","1/24",0.165382953337185,0.785849644101707,10.4110064950374,"HTR2C"
"trifluoperazine","DSigDB","UP","assoc","trifluoperazine","1/24",0.165382953337185,0.785849644101707,10.4110064950374,"HTR2C"
"ziprasidone","DSigDB","UP","assoc","Ziprasidone","1/24",0.165382953337185,0.785849644101707,10.4110064950374,"HTR2C"
"81103-11-9","DSigDB","UP","assoc","81103-11-9 CTD 00007157","1/24",0.165382953337185,0.785849644101707,10.4110064950374,"SLCO1B3"
"clomiphene","DSigDB","UP","assoc","CLOMIPHENE CITRATE","1/24",0.165382953337185,0.785849644101707,10.4110064950374,"NPSR1"
"perfluoroheptanoic","DSigDB","UP","assoc","Perfluoroheptanoic acid CTD 00003374","1/24",0.165382953337185,0.785849644101707,10.4110064950374,"APOA2"
"methiothepin","DSigDB","UP","assoc","methiothepin BOSS","1/24",0.165382953337185,0.785849644101707,10.4110064950374,"HTR2C"
"hexachloroethane","DSigDB","UP","assoc","HEXACHLOROETHANE BOSS","3/190",0.171360256404707,0.785849644101707,3.78536285512545,"IGFBP1;MUC16;FEZF1"
"quetiapine","DSigDB","UP","assoc","quetiapine","1/25",0.171650092688749,0.785849644101707,9.77049906759283,"HTR2C"
"nitazoxanide","DSigDB","UP","assoc","NITAZOXANIDE","1/25",0.171650092688749,0.785849644101707,9.77049906759283,"NPSR1"
"taurocholic","DSigDB","UP","assoc","TAUROCHOLIC ACID CTD 00006831","1/25",0.171650092688749,0.785849644101707,9.77049906759283,"SLCO1B3"
"desloratadine","DSigDB","UP","assoc","Desloratadine","1/25",0.171650092688749,0.785849644101707,9.77049906759283,"HTR2C"
"fexofenadine","DSigDB","UP","assoc","FEXOFENADINE HYDROCHLORIDE CTD 00003191","1/25",0.171650092688749,0.785849644101707,9.77049906759283,"SLCO1B3"
