"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3319","7/366",0.0206540699402964,0.0844603931487119,0,0,2.6576738025206,10.3113567998858,"ASPM;SDS;GDF15;CENPI;KNTC1;HOXC9;NDC80"
"imatinib DB00619 human GSE1922 sample 2519","7/374",0.0229151634855203,0.0931521734588901,0,0,2.59867380575827,9.81247905752647,"KIF14;KIF11;PUS7;ECT2;CENPA;LRP8;CEP55"
"cytarabine, EC50, 5 d 6253 human GSE6930 sample 3375","8/468",0.0250424831164461,0.101201093535285,0,0,2.37477036129822,8.75620951313786,"TPX2;ASPM;UBE2C;CDK1;BUB1B;ECT2;CEP55;DLGAP5"
"CADMIUM 23973 human GSE9951 sample 3403","6/306",0.0280663258037938,0.112757694895944,0,0,2.71527777777778,9.70218925953027,"TOP2A;KIF18A;FAP;XRCC2;CDC7;MCM10"
"cisplatin DB00515 mouse GSE6206 sample 2692","6/307",0.0284551960465046,0.113655346999702,0,0,2.70611849390919,9.63222445967511,"COL1A1;COL11A1;ADAM12;BGN;INHBA;MEST"
"CADMIUM 23973 human GSE9951 sample 3402","7/394",0.0293053580119435,0.116374456382689,0,0,2.46184564789216,8.69027799365655,"DEPDC1B;C5ORF34;CENPK;KIF14;DTL;SHCBP1;E2F7"
"TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3320","6/311",0.0300462623157019,0.118630932246478,0,0,2.67008196721311,9.35868270759577,"TOP2A;MELK;GDF15;HOXC9;CLDN1;MEST"
"decitabine 451668 mouse GSE4768 sample 3105","6/313",0.0308632960452711,0.12116048218915,0,0,2.65241585233442,9.22560001080764,"COL1A1;COL11A1;ADAM12;BGN;MEST;CTHRC1"
"lung cancer DB00928 human GSE29077 sample 2536","6/320",0.0338371773455963,0.132080345661504,0,0,2.59235668789809,8.77822566824819,"TOP2A;GINS1;CDK1;PRR11;SHCBP1;DLGAP5"
"doxorubicin, EC50, 5 d 31703 human GSE6930 sample 3262","7/411",0.0356087152029533,0.138210097991124,0,0,2.35619331163886,7.85829314108862,"GINS1;ASPM;MELK;BUB1B;KNTC1;CEP55;DLGAP5"
"estradiol DB00783 human GSE24592 sample 2732","5/242",0.0359256912875134,0.138657021991695,0,0,2.85363014695184,9.4920373906069,"ENC1;SOX9;CLDN1;SOX4;KIF15"
"Carboplatin DB00958 human GSE13525 sample 3089","5/243",0.0364673185599395,0.139961161176974,0,0,2.84149521877717,9.40915337194927,"ASPM;DEPDC1B;KIF14;KIF20A;DLGAP5"
"nicotinamide riboside 439924 mouse GSE62194 sample 3468","6/331",0.0388756242886706,0.148375299368426,0,0,2.50320512820513,8.128877918738,"NFE2L3;PKD2L1;TREM2;KIF23;OTX1;PLA2G7"
"lipopolysaccharide (LPS) 11970143 mouse GSE23639 sample 3443","6/339",0.0428256683655434,0.162548255067007,0,0,2.44206706706707,7.69401955024157,"EXO1;UHRF1;CDCA5;RCC2;TREM2;KIF20A"
"Argyrin A 24978550 human GSE8565 sample 3054","6/341",0.0438512658952426,0.165526481703471,0,0,2.42723880597015,7.58985849077462,"GINS1;BRIP1;DKC1;MYBL2;TRIP13;MEST"
"phorbol ester 12-O-tetradecanoylphorbol-13-acetate (TPA) 27924 mouse GSE40849 sample 3257","6/345",0.0459485021027483,0.172495196418514,0,0,2.39810717797443,7.38673133509435,"CHRNA1;ADAMTS14;ADAM12;WNT2;STRA6;CTHRC1"
"genistein 5280961 mouse GSE2889 sample 3604","7/437",0.0468891630745938,0.175069864305685,0,0,2.21076597820784,6.76487468470564,"TOP2A;UBE2C;CDK1;MKI67;CENPA;NCAPH;EZH2"
"dexamethasone DB01234 mouse GSE5463 sample 2709","7/438",0.0473638786596153,0.175886403454896,0,0,2.20552301526779,6.72661448647792,"UHRF1;CDK1;NEK2;KIF2C;GTSE1;SOX4;EZH2"
"decitabine 451668 mouse GSE4768 sample 3103","6/349",0.0481074088820284,0.177687042483621,0,0,2.36965500485909,7.19028940118211,"CHRNA1;FAP;COL11A1;ECT2;MEST;CTHRC1"
"Retinoic acid 444795 mouse GSE1588 sample 3632","6/350",0.0486568079710755,0.178755225006037,0,0,2.36264534883721,7.14219075315579,"UHRF1;CHEK1;BGN;ECT2;MEST;EZH2"
"4-Hydroxynonenal 5283344 human GSE2397 sample 3078","6/356",0.0520347769015299,0.190148360273144,0,0,2.32142857142857,6.86177838675388,"TPX2;MELK;TTYH3;DKC1;UBE2C;HJURP"
"TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3314","5/271",0.0536963542435989,0.195181986060066,0,0,2.53876069484055,7.4243775976066,"GDF15;BMP8A;KNTC1;DLGAP5;CTHRC1"
"diclofenac DB00586 human GSE28185 sample 3057","5/273",0.0550808360255245,0.199160707102817,0,0,2.51955738548636,7.30407951680204,"GINS1;ASPM;BLM;CDK1;MCM10"
"imatinib DB00619 human GSE1922 sample 2516","6/365",0.0573651662191332,0.206334393678244,0,0,2.26218662952646,6.46604880815114,"KIF14;KIF11;TRIP13;PUS7;CENPA;CEP55"
"luteolin 5280445 human GSE53180 sample 3473","6/370",0.060463689596448,0.21634663933729,0,0,2.23054029304029,6.25825426016919,"SPAG5;DKC1;CDCA5;UBE2T;CDK1;NCAPG"
"cisplatin DB00515 human GSE47856 sample 3155","5/288",0.0661201941178969,0.233540042674394,0,0,2.38418423297185,6.47611449986992,"HELLS;BLM;MCM10;DTL;KIF15"
"TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3313","5/288",0.0661201941178969,0.233540042674394,0,0,2.38418423297185,6.47611449986992,"TMEM26;ESM1;DLEU7;E2F7;CTHRC1"
"metoprolol DB00264 human GSE11223 sample 3287","6/379",0.066288658401029,0.233540042674394,0,0,2.17571492403932,5.90431691868342,"TOP2A;KIF18A;DKC1;GDF15;ENC1;MKI67"
"TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3318","5/290",0.067679289084894,0.23722281429246,0,0,2.36721113127647,6.37484055675596,"SDS;HTRA4;KNTC1;SHCBP1;STRA6"
"hydrocortisone DB00741 human GSE7890 sample 2751","5/295",0.071666259731989,0.249922438760794,0,0,2.32580261593341,6.1301998642275,"COL1A1;FAP;ADAM12;BGN;SOX9"
"doxycycline DB00254 human GSE2624 sample 3077","6/391",0.0745505289738134,0.258667744469746,0,0,2.10660173160173,5.46932403016049,"COL1A1;TPX2;DKC1;GDF15;COL11A1;TRIP13"
"PLX4720 CID 24180719 human GSE50791 sample 2505","5/301",0.0766180564460117,0.264505551650302,0,0,2.27795899347623,5.85190012648671,"DKC1;DSCC1;RCC2;TRIP13;LRP8"
"Ascorbic acid 54670067 mouse GSE37676 sample 3132","5/306",0.0808830529894908,0.275082462394951,0,0,2.23954633978692,5.63190130308907,"ARHGAP11A;UBE2C;BGN;MKI67;EZH2"
"vemurafenib DB08881 human GSE63790 sample 2509","5/306",0.0808830529894908,0.275082462394951,0,0,2.23954633978692,5.63190130308907,"UHRF1;ENC1;CDK1;LRP8;E2F7"
"morphine DB00295 mouse GSE50382 sample 3304","5/306",0.0808830529894908,0.275082462394951,0,0,2.23954633978692,5.63190130308907,"UHRF1;CHEK1;CDC7;SKA3;DTL"
"palmitic acid 985 mouse GSE6766 sample 3553","5/314",0.0879661382584495,0.297698211741649,0,0,2.18067180002232,5.30078427547162,"CHRNA1;COL1A1;CDK1;BGN;MKI67"
"motexafin gadolinium DB05428 human GSE2964 sample 3591","5/318",0.09162591782823,0.308563752686245,0,0,2.15236311556682,5.14423631177384,"TPX2;DBF4;RCC2;TRIP13;PUS7"
"cisplatin DB00515 mouse GSE6206 sample 3412","5/321",0.0944219018225484,0.314892458990732,0,0,2.13160192055871,5.03054263670553,"COL1A1;COL11A1;ADAM12;BGN;INHBA"
"Sodium dichromate 25408 rat GSE31503 sample 3284","5/321",0.0944219018225484,0.314892458990732,0,0,2.13160192055871,5.03054263670553,"TOP2A;UBE2C;IQGAP3;BUB1;NDC80"
"cytarabine, 2xEC50, 5 d 6253 human GSE6930 sample 3424","5/324",0.0972613668351704,0.322794971090638,0,0,2.11123121824668,4.91991489130858,"GINS1;TPX2;ASPM;BUB1B;DLGAP5"
"temozolomide 5394 human GSE43452 sample 2555","5/329",0.102089490689498,0.337189808190794,0,0,2.07811834823329,4.74206966905812,"TTYH3;DKC1;LIF;BUB1B;WDR62"
"etanercept DB00005 human GSE47751 sample 2591","4/240",0.106806682464221,0.351082252884784,0,0,2.2769909449733,5.09302485066737,"ATAD5;DKC1;PUS7;LRP8"
"Chlorpyrifos 2730 human GSE5023 sample 3571","4/241",0.108012043536485,0.353353685283643,0,0,2.26726778798913,5.04583290243336,"COL1A1;COL11A1;ENC1;SOX9"
"TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3315","4/245",0.112894913142402,0.363161589482766,0,0,2.22918206104701,4.86251007079997,"SDS;HTRA4;CDC7;HOXC9"
"colchicine DB01394 human GSE4090 sample 2696","5/340",0.113124570814137,0.363161589482766,0,0,2.00874935666495,4.37759851437704,"HELLS;RCC2;C1QTNF6;GTSE1;DTL"
"NVP-TNKS656 27924 human GSE55624 sample 3249","5/340",0.113124570814137,0.363161589482766,0,0,2.00874935666495,4.37759851437704,"CST1;NFE2L3;KIF20A;HMMR;FOXM1"
"Retinoic acid 444795 human GSE23702 sample 3233","5/340",0.113124570814137,0.363161589482766,0,0,2.00874935666495,4.37759851437704,"CENPE;DSCC1;PUS7;KIF15;RAD54B"
"dexamethasone DB01234 human GSE22152 sample 2488","3/158",0.115912496316142,0.370380860321811,0,0,2.59315339038841,5.5880373640262,"CENPE;CKAP2L;OTX1"
"MLN4924 73014187 human GSE30531 sample 2645","5/347",0.120435344670498,0.383051304577,0,0,1.96692881629361,4.16328459361387,"EME1;UHRF1;NUF2;ENC1;INHBA"
