"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"ABC-294640 Up","13/245",4.21738943420085e-08,8.69231953111394e-06,0,0,8.02397432670526,136.258834574575,"CBX7;HPGD;GPX3;HSPB8;P2RY14;FHL1;HBB;PTN;S100B;TMEM100;INPP5A;UBL3;PLP1"
"Homatropine Down","13/245",4.21738943420085e-08,8.69231953111394e-06,0,0,8.02397432670526,136.258834574575,"CFD;CITED2;GPX3;TSC22D3;AKR1C1;EPHX1;FHL1;AKR1C2;CYB5R1;CLEC3B;ID4;IGFBP6;YPEL5"
"Meclizine Down","13/245",4.21738943420085e-08,8.69231953111394e-06,0,0,8.02397432670526,136.258834574575,"CHODL;HPGD;GPX3;AQP4;MT1X;NDRG2;KLF4;CYB5R1;ID4;PLP1;MAL;SOSTDC1;YPEL5"
"H-8 Down","13/245",4.21738943420085e-08,8.69231953111394e-06,0,0,8.02397432670526,136.258834574575,"CBR1;GPX3;TSC22D3;AKR1C1;FHL1;AKR1C2;ABHD6;PTN;DHRS7;MKNK2;MAL;IGFBP6;DNASE1L3"
"Tremorine Down","13/245",4.21738943420085e-08,8.69231953111394e-06,0,0,8.02397432670526,136.258834574575,"GPX3;TSC22D3;P2RY14;AKR1C1;EPHX1;AKR1C2;MT1X;PTN;KLF4;TMEM100;CYB5R1;ID4;NCAM1"
"MK-0812 Down","13/245",4.21738943420085e-08,8.69231953111394e-06,0,0,8.02397432670526,136.258834574575,"HSPB8;TSC22D3;AKR1C1;MT1M;HBB;AKR1C2;MT1X;S100B;ELL2;CLEC3B;IGFBP6;YPEL5;ASPA"
"NXY-059 Down","13/245",4.21738943420085e-08,8.69231953111394e-06,0,0,8.02397432670526,136.258834574575,"BTG2;HPGD;GPX3;TSC22D3;FAM107A;HBB;MT1X;ABHD6;PTN;NDRG2;TMEM100;YPEL5;GPM6B"
"Anthothecol Up","13/246",4.42429015308476e-08,8.69231953111394e-06,0,0,7.98912941323893,135.284489314345,"HPGD;GPX3;HSPB8;TSC22D3;AKR1C1;MT1M;AKR1C2;KLF4;CLEC3B;MAF;PPP1R3C;SLC7A8;IGFBP6"
"Refametinib Up","13/246",4.42429015308476e-08,8.69231953111394e-06,0,0,7.98912941323893,135.284489314345,"CFD;BTG2;GSN;HSPB8;TSC22D3;AKR1C1;ROGDI;EPHX1;AKR1C2;MAF;PPP1R3C;IGFBP6;YPEL5"
"SA-1937516 Up","13/246",4.42429015308476e-08,8.69231953111394e-06,0,0,7.98912941323893,135.284489314345,"CFD;CBX7;MYOC;HSPB8;DPT;HBB;PTN;NDRG2;S100B;TMEM100;CLEC3B;NCAM1;GPM6B"
