"variable","label","n","threshold","pos_rate","tp_rate","fp_rate","harm","net_benefit"
"none","Treat None",300,0.04,0.399999999999999,0,0,0,0
"none","Treat None",300,0.05,0.399999999999999,0,0,0,0
"none","Treat None",300,0.06,0.399999999999999,0,0,0,0
"none","Treat None",300,0.07,0.399999999999999,0,0,0,0
"none","Treat None",300,0.08,0.399999999999999,0,0,0,0
"none","Treat None",300,0.09,0.399999999999999,0,0,0,0
"none","Treat None",300,0.1,0.399999999999999,0,0,0,0
"none","Treat None",300,0.11,0.399999999999999,0,0,0,0
"none","Treat None",300,0.12,0.399999999999999,0,0,0,0
"none","Treat None",300,0.13,0.399999999999999,0,0,0,0
"none","Treat None",300,0.14,0.399999999999999,0,0,0,0
"none","Treat None",300,0.15,0.399999999999999,0,0,0,0
"none","Treat None",300,0.16,0.399999999999999,0,0,0,0
"none","Treat None",300,0.17,0.399999999999999,0,0,0,0
"none","Treat None",300,0.18,0.399999999999999,0,0,0,0
"none","Treat None",300,0.19,0.399999999999999,0,0,0,0
"none","Treat None",300,0.2,0.399999999999999,0,0,0,0
"none","Treat None",300,0.21,0.399999999999999,0,0,0,0
"none","Treat None",300,0.22,0.399999999999999,0,0,0,0
"none","Treat None",300,0.23,0.399999999999999,0,0,0,0
"none","Treat None",300,0.24,0.399999999999999,0,0,0,0
"none","Treat None",300,0.25,0.399999999999999,0,0,0,0
"none","Treat None",300,0.26,0.399999999999999,0,0,0,0
"none","Treat None",300,0.27,0.399999999999999,0,0,0,0
"none","Treat None",300,0.28,0.399999999999999,0,0,0,0
"none","Treat None",300,0.29,0.399999999999999,0,0,0,0
"none","Treat None",300,0.3,0.399999999999999,0,0,0,0
"none","Treat None",300,0.31,0.399999999999999,0,0,0,0
"none","Treat None",300,0.32,0.399999999999999,0,0,0,0
"none","Treat None",300,0.33,0.399999999999999,0,0,0,0
"none","Treat None",300,0.34,0.399999999999999,0,0,0,0
"none","Treat None",300,0.35,0.399999999999999,0,0,0,0
"none","Treat None",300,0.36,0.399999999999999,0,0,0,0
"none","Treat None",300,0.37,0.399999999999999,0,0,0,0
"none","Treat None",300,0.38,0.399999999999999,0,0,0,0
"none","Treat None",300,0.39,0.399999999999999,0,0,0,0
"none","Treat None",300,0.4,0.399999999999999,0,0,0,0
"none","Treat None",300,0.41,0.399999999999999,0,0,0,0
"none","Treat None",300,0.42,0.399999999999999,0,0,0,0
"none","Treat None",300,0.43,0.399999999999999,0,0,0,0
"none","Treat None",300,0.44,0.399999999999999,0,0,0,0
"none","Treat None",300,0.45,0.399999999999999,0,0,0,0
"none","Treat None",300,0.46,0.399999999999999,0,0,0,0
"none","Treat None",300,0.47,0.399999999999999,0,0,0,0
"none","Treat None",300,0.48,0.399999999999999,0,0,0,0
"none","Treat None",300,0.49,0.399999999999999,0,0,0,0
"none","Treat None",300,0.5,0.399999999999999,0,0,0,0
"p_clin","Clinical",300,0,0.399999999999999,0.399999999999999,0.600000000000001,0,0.399999999999999
"p_clin","Clinical",300,0.01,0.399999999999999,0.399999999999999,0.600000000000001,0,0.393939393939393
"p_clin","Clinical",300,0.02,0.399999999999999,0.399999999999999,0.600000000000001,0,0.387755102040815
"p_clin","Clinical",300,0.03,0.399999999999999,0.399999999999999,0.600000000000001,0,0.381443298969071
"p_clin","Clinical",300,0.04,0.399999999999999,0.399999999999999,0.600000000000001,0,0.374999999999999
"p_clin","Clinical",300,0.05,0.399999999999999,0.399999999999999,0.600000000000001,0,0.368421052631578
"p_clin","Clinical",300,0.06,0.399999999999999,0.399999999999999,0.600000000000001,0,0.361702127659573
"p_clin","Clinical",300,0.07,0.399999999999999,0.399999999999999,0.600000000000001,0,0.354838709677418
"p_clin","Clinical",300,0.08,0.399999999999999,0.396666666666666,0.6,0,0.344492753623188
"p_clin","Clinical",300,0.09,0.399999999999999,0.396666666666666,0.596666666666667,0,0.337655677655677
"p_clin","Clinical",300,0.1,0.399999999999999,0.396666666666666,0.580000000000001,0,0.332222222222222
"p_clin","Clinical",300,0.11,0.399999999999999,0.393333333333334,0.573333333333333,0,0.32247191011236
"p_clin","Clinical",300,0.12,0.399999999999999,0.393333333333333,0.56,0,0.316969696969697
"p_clin","Clinical",300,0.13,0.399999999999999,0.393333333333332,0.533333333333334,0,0.313639846743294
"p_clin","Clinical",300,0.14,0.399999999999999,0.39,0.523333333333333,0,0.304806201550388
"p_clin","Clinical",300,0.15,0.399999999999999,0.39,0.513333333333333,0,0.299411764705882
"p_clin","Clinical",300,0.16,0.399999999999999,0.383333333333334,0.506666666666666,0,0.286825396825398
"p_clin","Clinical",300,0.17,0.399999999999999,0.383333333333334,0.493333333333332,0,0.282289156626507
"p_clin","Clinical",300,0.18,0.399999999999999,0.38,0.473333333333333,0,0.27609756097561
"p_clin","Clinical",300,0.19,0.399999999999999,0.379999999999999,0.463333333333334,0,0.271316872427983
"p_clin","Clinical",300,0.2,0.399999999999999,0.376666666666667,0.446666666666666,0,0.265000000000001
"p_clin","Clinical",300,0.21,0.399999999999999,0.366666666666666,0.426666666666667,0,0.253248945147678
"p_clin","Clinical",300,0.22,0.399999999999999,0.366666666666666,0.403333333333334,0,0.252905982905982
"p_clin","Clinical",300,0.23,0.399999999999999,0.356666666666666,0.383333333333334,0,0.242164502164501
"p_clin","Clinical",300,0.24,0.399999999999999,0.35,0.353333333333333,0,0.238421052631579
"p_clin","Clinical",300,0.25,0.399999999999999,0.346666666666667,0.326666666666666,0,0.237777777777778
"p_clin","Clinical",300,0.26,0.399999999999999,0.34,0.3,0,0.234594594594595
"p_clin","Clinical",300,0.27,0.399999999999999,0.34,0.29,0,0.232739726027397
"p_clin","Clinical",300,0.28,0.399999999999999,0.333333333333333,0.266666666666667,0,0.229629629629629
"p_clin","Clinical",300,0.29,0.399999999999999,0.323333333333334,0.25,0,0.221220657276996
"p_clin","Clinical",300,0.3,0.399999999999999,0.313333333333334,0.25,0,0.206190476190477
"p_clin","Clinical",300,0.31,0.399999999999999,0.309999999999999,0.243333333333334,0,0.200676328502415
"p_clin","Clinical",300,0.32,0.399999999999999,0.306666666666667,0.24,0,0.193725490196079
"p_clin","Clinical",300,0.33,0.399999999999999,0.303333333333334,0.236666666666666,0,0.186766169154229
"p_clin","Clinical",300,0.34,0.399999999999999,0.296666666666666,0.236666666666667,0,0.174747474747474
"p_clin","Clinical",300,0.35,0.399999999999999,0.296666666666667,0.226666666666667,0,0.174615384615384
"p_clin","Clinical",300,0.36,0.399999999999999,0.29,0.22,0,0.166249999999999
"p_clin","Clinical",300,0.37,0.399999999999999,0.286666666666666,0.21,0,0.163333333333333
"p_clin","Clinical",300,0.38,0.399999999999999,0.283333333333333,0.206666666666666,0,0.156666666666667
"p_clin","Clinical",300,0.39,0.399999999999999,0.28,0.19,0,0.158524590163935
"p_clin","Clinical",300,0.4,0.399999999999999,0.28,0.19,0,0.153333333333334
"p_clin","Clinical",300,0.41,0.399999999999999,0.273333333333334,0.176666666666666,0,0.150564971751413
"p_clin","Clinical",300,0.42,0.399999999999999,0.27,0.17,0,0.146896551724138
"p_clin","Clinical",300,0.43,0.399999999999999,0.256666666666667,0.153333333333333,0,0.140994152046783
"p_clin","Clinical",300,0.44,0.399999999999999,0.25,0.14,0,0.14
"p_clin","Clinical",300,0.45,0.399999999999999,0.236666666666667,0.133333333333333,0,0.127575757575758
"p_clin","Clinical",300,0.46,0.399999999999999,0.23,0.126666666666667,0,0.122098765432099
"p_clin","Clinical",300,0.47,0.399999999999999,0.22,0.106666666666666,0,0.125408805031447
"p_clin","Clinical",300,0.48,0.399999999999999,0.22,0.0900000000000001,0,0.136923076923077
"p_clin","Clinical",300,0.49,0.399999999999999,0.216666666666667,0.0833333333333333,0,0.136601307189543
"p_clin","Clinical",300,0.5,0.399999999999999,0.203333333333333,0.0733333333333333,0,0.13
"p_comb","Combined",300,0,0.399999999999999,0.399999999999999,0.600000000000001,0,0.399999999999999
