feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ELL2	status	Tumor	-1.70066025233023	0.113638148972251	855	420	4.10015569240632e-45	1.19190572453672e-43
PGM5.AS1	status	Tumor	-1.70522487103726	0.113973285584993	855	392	4.29768106288157e-45	1.24210435343398e-43
VIT	status	Tumor	-1.70693726477333	0.11412362047178	855	389	4.54493619911396e-45	1.30601614917068e-43
GRIN2D	status	Tumor	1.69699506587097	0.113483265985333	855	418	4.7218387511195e-45	1.34909678603414e-43
SLC25A4	status	Tumor	-1.69722557275689	0.113566361972002	855	406	5.24948140307683e-45	1.49132994405592e-43
FAM107A	status	Tumor	-1.6991017906157	0.113703000086075	855	439	5.34124984772358e-45	1.50882764059988e-43
RFC3	status	Tumor	1.6987900978524	0.113687219429922	855	416	5.3837819540449e-45	1.512298301698e-43
PCARE	status	Tumor	-1.69609408237052	0.113582417606673	855	493	6.05929894882117e-45	1.69254160581597e-43
HOXC8	status	Tumor	1.69204697285352	0.113317743048635	855	377	6.11981372739949e-45	1.69994825761097e-43
SPAG5	status	Tumor	1.69381942636522	0.113610329648029	855	437	8.02756959471862e-45	2.21756066152448e-43
RAD54B	status	Tumor	1.69381450188842	0.113712173620753	855	433	9.41053017418074e-45	2.58531048741229e-43
MMP11	status	Tumor	1.68770112279269	0.113434027300885	855	418	1.15627469757692e-44	3.15922048518285e-43
PRIM2	status	Tumor	1.68668036871131	0.113439403916118	855	429	1.29719706839613e-44	3.52499203368513e-43
P2RY14	status	Tumor	-1.69834459539408	0.114233077234385	855	439	1.31570167181024e-44	3.555950464352e-43
HOXC.AS1	status	Tumor	1.68010901572128	0.11308573529836	855	403	1.48845067373325e-44	4.00121148853024e-43
TTYH3	status	Tumor	1.68997835996856	0.114125482302503	855	441	2.6540668504486e-44	7.09643542900695e-43
LINC02716	status	Tumor	-1.69196320330912	0.11453208689994	855	409	4.02451850991066e-44	1.07035066752943e-42
HOXA13	status	Tumor	1.68060936244044	0.113836219285777	855	348	4.49853774834345e-44	1.18382572324828e-42
GFRA2	status	Tumor	-1.68369369489301	0.114044374304122	855	412	4.49330069799847e-44	1.18382572324828e-42
EZH2	status	Tumor	1.67979269413778	0.113892053172438	855	444	5.33202627416284e-44	1.39581839637771e-42
PCSK2	status	Tumor	-1.67794200886467	0.113785092301188	855	435	5.48512354825484e-44	1.42841759069136e-42
E2F7	status	Tumor	1.66887588446359	0.113373023276578	855	425	7.48457723858878e-44	1.93900964730279e-42
COL1A1	status	Tumor	1.66805734586735	0.113501665106352	855	456	9.9166549785115e-44	2.5558389119875e-42
DKC1	status	Tumor	1.67130748773475	0.113924354297967	855	418	1.34643230626975e-43	3.45239052889679e-42
FAM91A1	status	Tumor	1.66889161338715	0.113768458251377	855	428	1.36447767604712e-43	3.4808103980794e-42
BTG2	status	Tumor	-1.6698213280692	0.113909806838233	855	393	1.53540809666114e-43	3.89697486462219e-42
CCNF	status	Tumor	1.67483244419372	0.114296063552242	855	424	1.64170161872409e-43	4.14571115839415e-42
RECQL4	status	Tumor	1.66712855477827	0.113799264922279	855	423	1.71517286683109e-43	4.30947956490223e-42
COL11A1	status	Tumor	1.66555088712858	0.11374597480553	855	403	1.86230314172068e-43	4.65575785430171e-42
BRIP1	status	Tumor	1.66106648118936	0.113505900995765	855	422	2.05868048659408e-43	5.12109573779622e-42
MEST	status	Tumor	1.66894022841741	0.114083571424466	855	425	2.1852833057337e-43	5.40911709340025e-42
