"gene","module_membership","gene_significance","hub_score"
"NSUN4",0.504811093738644,NA,NA
"GALK2",0.504104027399135,NA,NA
"SNRNP48",0.503446340359183,NA,NA
"TPRKB",0.50344477340779,NA,NA
"SOCS4",0.503295038308969,NA,NA
"ZNF143",0.503158480531156,NA,NA
"OSBP",0.50297499951258,NA,NA
"DLD",0.501889789576935,NA,NA
"EIF3J",0.500617001939872,NA,NA
"PCCB",0.500510598102427,NA,NA
"BNIP1",0.500380124620376,NA,NA
"SOCS6",0.500041820379392,NA,NA
"RABEPK",0.499178190433869,NA,NA
"PPTC7",0.499025174082065,NA,NA
"APOO",0.498740014725888,NA,NA
"CUL1",0.498738087953451,NA,NA
"NAPG",0.49807767139738,NA,NA
"PSMD5",0.497564852079041,NA,NA
"CTR9",0.497547504100249,NA,NA
"CDK8",0.497452569601935,NA,NA
"NIPA1",0.497283725729936,NA,NA
"THOC7",0.49597479462731,NA,NA
"SAE1",0.495831659387995,NA,NA
"ZNF24",0.495570654379419,NA,NA
"HMGB2",0.495261203488704,NA,NA
"IDI1",0.495190226028255,NA,NA
"FAM120A",0.494584149530242,NA,NA
"EBPL",0.494331045487317,NA,NA
"PPIP5K2",0.494234966062404,NA,NA
"GTPBP10",0.493772244417884,NA,NA
"UBA5",0.493595074173975,NA,NA
"TMEM30A",0.492788188709652,NA,NA
"EIF3H",0.492698426547369,NA,NA
"TMED7",0.492628350102751,NA,NA
"POLR1E",0.492383775768885,NA,NA
"SPOPL",0.492194467852913,NA,NA
"UTP3",0.492171395976907,NA,NA
"SMC5",0.491154119833903,NA,NA
"USP37",0.490891516678739,NA,NA
"ELP4",0.490865942179913,NA,NA
"PLRG1",0.490780657304999,NA,NA
"ARHGAP19",0.490733699429772,NA,NA
"DLG3",0.490086261520117,NA,NA
"ABHD13",0.489264436643323,NA,NA
"SLC16A1",0.48738454885841,NA,NA
"SNX13",0.487283145810962,NA,NA
"FAM199X",0.486927827196978,NA,NA
"HTATSF1",0.48685891893354,NA,NA
"KATNA1",0.486763534758077,NA,NA
"KHDRBS1",0.486546330217455,NA,NA
"ZCCHC9",0.486523744437964,NA,NA
"NEK4",0.486179102409357,NA,NA
"EI24",0.486084478357404,NA,NA
"FAM98A",0.486064394247091,NA,NA
"TMEM128",0.486048899238916,NA,NA
"EBAG9",0.486002591836989,NA,NA
"RBBP7",0.485907452476963,NA,NA
"MFF",0.485571346684989,NA,NA
"ILKAP",0.485431646282372,NA,NA
"BTBD10",0.485278353806682,NA,NA
"CUL2",0.485257775741091,NA,NA
"RBM18",0.485022561468547,NA,NA
"MRPL9",0.484871116241315,NA,NA
"JKAMP",0.484648460100124,NA,NA
"RFT1",0.484541013376208,NA,NA
"PLAA",0.48432091073035,NA,NA
"EIF3D",0.483220336747039,NA,NA
"STAG1",0.48310608727609,NA,NA
"TUBGCP3",0.483049508346253,NA,NA
"METTL2A",0.482574673473519,NA,NA
"CTCF",0.482429301431844,NA,NA
"TMEM126A",0.482424272895132,NA,NA
"RBM17",0.482423655910739,NA,NA
"RNF7",0.482175575317311,NA,NA
"COPS8",0.481857971463727,NA,NA
"ZNF232",0.481803772414909,NA,NA
"KIAA0586",0.481591651514886,NA,NA
"MRPL48",0.481398971050817,NA,NA
"COX10",0.480964886492508,NA,NA
"NONO",0.480413376485715,NA,NA
"CDC16",0.480076291481206,NA,NA
"PEX13",0.479931194810535,NA,NA
"MRPL15",0.479770291750732,NA,NA
"MAPK1",0.479667653934861,NA,NA
"PRPF38A",0.47892204421894,NA,NA
"FBXO4",0.478631527905418,NA,NA
"RB1",0.478626777471236,NA,NA
"FXN",0.478407341837335,NA,NA
