Genus,Mean_Normal,Mean_Tumor,Fold_Change,log2FC,Cohens_d,p_value,p_adjusted
Porphyromonas,41.01449275362319,20.591331269349844,0.5139019860590339,-0.9604348672004482,-0.7978343107860061,2.6612780083369167e-16,3.9623472568571874e-16
Streptobacillus,36.030595813204506,18.928792569659443,0.5381709943363417,-0.8938634583772364,-0.7806607775693108,3.01334495547819e-16,4.389002435153016e-16
Bordetella,17.07729468599034,3.984520123839009,0.27573374282059726,-1.8586522674334043,-1.0072844312462919,6.466113131394449e-16,9.21765063411549e-16
Anaerosinus,773.3961352657005,454.625386996904,0.5883621653671811,-0.7652236178257393,-0.6948254884218343,3.269691294033069e-14,4.5639440979211585e-14
Bacillus,546.6763285024155,317.58513931888547,0.5817033213577724,-0.7816445533264388,-0.7012013479995025,3.637738391725364e-14,4.9740504539918235e-14
Filifactor,13.880837359098228,9.421052631578947,0.700300149790123,-0.5139546988255514,-0.5482981278271873,7.856196601538135e-12,1.0527303446061102e-11
Moryella,54.08373590982286,20.597523219814242,0.39208530182432383,-1.3507605346003448,-0.8789256123231526,1.858539419260224e-11,2.4416106096163726e-11
Prevotella,1937.6199677938807,1401.5417956656347,0.7234743368818725,-0.466986252573912,-0.493071858607547,1.8276625464011674e-10,2.354872896324581e-10
Streptococcus,3397.4718196457325,2384.1176470588234,0.701820633989384,-0.510825730338297,-0.5216379219201638,2.491895411731588e-10,3.1501319355852146e-10
Catenibacterium,3.1159420289855073,0.9287925696594427,0.4686150961496533,-1.0935246643964363,-0.6460583383477525,5.607902138507932e-08,6.957952653333916e-08
Acinetobacter,7.714975845410628,0.009287925696594427,0.1158107542235006,-3.110158866218903,-0.5675814549300737,7.776108399953488e-08,9.472713869034249e-08
Coprococcus,0.07407407407407407,0.30030959752321984,1.2106330735561013,0.27576167000809426,0.5141752171685366,3.463992074456259e-06,4.144419089081595e-06
Pediococcus,0.32689210950080516,0.01238390092879257,0.7629737894135681,-0.39029459815857953,-0.5472375158320196,4.478252052499129e-06,5.263910307323538e-06
Leptotrichia,192.0209339774557,214.91021671826624,1.1185844574945634,0.1616741896187724,0.1695700503529421,4.9363734731611934e-06,5.702362460375861e-06
Atopobium,78.99194847020934,61.845201238390096,0.7856440859394112,-0.348052207009682,-0.373536709982581,6.5490232371344044e-06,7.4370263879322904e-06
Vestibaculum,25.864734299516908,14.678018575851393,0.5835910529043766,-0.7769703295709556,-0.603451006480943,0.001327752451922638,0.0014826569046469458
Peptostreptococcus,209.48792270531402,174.39318885448915,0.833269608062226,-0.2631447334113674,-0.28056596073722717,0.004862300861024008,0.005340559962108337
Raphanus,0.1819645732689211,0.04024767801857585,0.880100555925798,-0.18425972653789577,-0.39188155992240925,0.00525074979860608,0.005674197363009796
Marmoricola,0.14009661835748793,0.034055727554179564,0.9069895576428609,-0.14084215408238862,-0.336634306930676,0.02265470826886834,0.024093102444669504
Fibrobacter,0.12721417069243157,0.02786377708978328,0.9118620079610792,-0.13311257695884748,-0.31471709194495795,0.05123894008294095,0.053640765399328806
Massilia,0.07407407407407407,0.021671826625386997,0.9512117006512225,-0.07216163341221249,-0.2388958289133235,0.21393162481281847,0.22051413634552056
Campylobacter,100.77133655394525,89.71517027863777,0.8913626699847161,-0.16591555232993394,-0.20399759800508163,0.3244128898993843,0.32932823671604167
Catonella,30.312399355877616,23.272445820433436,0.7751704219331018,-0.3674145717924435,-0.30984865269509904,0.5605844579869336,0.5605844579869336
