"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_id_clean","sig","hgnc_symbol","gene_biotype"
"ENSG00000144815.16",-0.668629165481691,3.78931258297526,-4.39553309113494,0.0000138002092218836,0.000055537490518393,2.10089478747253,"ENSG00000144815","NS","NXPE3","neurexophilin and PC-esterase domain family member 3"
"ENSG00000203645.2",2.20940950644079,-2.09891653118612,4.39469434090045,0.0000138513885147345,0.0000557243651243718,2.88266205535977,"ENSG00000203645","Up","LINC00501","long intergenic non-protein coding RNA 501"
"ENSG00000253132.1",-1.68238828713324,-2.50789760005868,-4.3946555444347,0.0000138537602071921,0.0000557243651243718,2.63208171332799,"ENSG00000253132","Down","IGHV3-62","immunoglobulin heavy variable 3-62 (pseudogene)"
"ENSG00000136881.12",3.16814596114366,-0.157988242342989,4.39464442958005,0.0000138544397483517,0.0000557243651243718,2.83119333073783,"ENSG00000136881","Up","BAAT","bile acid-CoA:amino acid N-acyltransferase"
"ENSG00000285517.1",1.91310604782532,0.365976422010903,4.39367672937852,0.0000139137255472507,0.0000559523266616048,2.69110232576989,"ENSG00000285517","Up",NA,NA
"ENSG00000185347.18",0.732976946921145,2.97247968694862,4.39354167829174,0.0000139220186828361,0.0000559651353958474,2.33319138306633,"ENSG00000185347","NS","TEDC1","tubulin epsilon and delta complex 1"
"ENSG00000204706.14",-0.99256975471701,-1.59218569599179,-4.3935398680571,0.0000139221298767531,0.0000559651353958474,2.63791868685035,"ENSG00000204706","NS","MAMDC2-AS1","MAMDC2 antisense RNA 1"
"ENSG00000111196.10",0.541430399101564,4.00452054163565,4.39345942028475,0.0000139270722506743,0.0000559745111484187,2.19449276659187,"ENSG00000111196","NS","MAGOHB","mago homolog B, exon junction complex subunit"
"ENSG00000229994.1",-0.599487718063711,1.26021263339826,-4.39341043071693,0.0000139300827868843,0.0000559761205635227,2.38811299132582,"ENSG00000229994","NS","RPL5P4","ribosomal protein L5 pseudogene 4"
"ENSG00000140199.13",-0.470941567275328,5.14324875679846,-4.39327861265849,0.0000139381864416076,0.000055997634765119,1.96207399885331,"ENSG00000140199","NS","SLC12A6","solute carrier family 12 member 6"
"ENSG00000200534.1",1.04507370938461,-0.590009362296464,4.39323840808693,0.0000139406589578929,0.000055997634765119,2.70128530741289,"ENSG00000200534","Up","SNORA33","small nucleolar RNA, H/ACA box 33"
"ENSG00000102554.14",0.938997109556029,8.20307215909442,4.39309877264606,0.0000139492495730056,0.0000560216491278423,1.90286950945788,"ENSG00000102554","NS","KLF5","KLF transcription factor 5"
"ENSG00000048471.14",-0.56177526609871,4.72697025664092,-4.39194423839457,0.0000140204728905832,0.0000562971469034728,1.98791820983247,"ENSG00000048471","NS","SNX29","sorting nexin 29"
"ENSG00000125798.15",2.20274046162795,4.28548383300348,4.39054045267626,0.0000141075414079674,0.0000566361536943597,2.29055461422194,"ENSG00000125798","Up","FOXA2","forkhead box A2"
"ENSG00000211654.2",-2.04224068489471,-2.70641097085301,-4.3901540770057,0.0000141315966589896,0.0000567221077950012,2.61693528785918,"ENSG00000211654","Down","IGLV5-37","immunoglobulin lambda variable 5-37"
"ENSG00000074696.13",0.539094420900303,6.99512457221263,4.38952155123208,0.0000141710616420917,0.0000568698705045469,1.89899916568549,"ENSG00000074696","NS","HACD3","3-hydroxyacyl-CoA dehydratase 3"
"ENSG00000213983.12",0.639258840582275,4.60321446406421,4.38945605723623,0.0000141751540085405,0.0000568756506767372,2.09868726134708,"ENSG00000213983","NS","AP1G2","adaptor related protein complex 1 subunit gamma 2"
"ENSG00000106689.11",1.63732480564014,-2.08971578947142,4.38912063105039,0.0000141961307142408,0.0000569491618588868,2.83950177875194,"ENSG00000106689","Up","LHX2","LIM homeobox 2"
"ENSG00000172534.14",0.457219693028525,7.56639133637208,4.38890621122219,0.0000142095555475864,0.000056992356138683,1.88588238391114,"ENSG00000172534","NS","HCFC1","host cell factor C1"
"ENSG00000153147.6",0.342484985013709,6.48989501982324,4.38880884712263,0.0000142156555271622,0.0000570061608892149,1.90825172716465,"ENSG00000153147","NS","SMARCA5","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5"
"ENSG00000115461.5",-1.0329687495641,8.60501575933368,-4.388181724967,0.0000142550055830637,0.0000571532715899015,1.90312446295657,"ENSG00000115461","Down","IGFBP5","insulin like growth factor binding protein 5"
"ENSG00000100714.17",0.507239122678058,5.88191126289501,4.38714022301485,0.0000143205871251192,0.0000574054787823002,1.94515693726931,"ENSG00000100714","NS","MTHFD1","methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1"
"ENSG00000120868.14",0.558784097475544,4.73568555599515,4.38643087195988,0.0000143654188770045,0.0000575744296834683,2.06829340663053,"ENSG00000120868","NS","APAF1","apoptotic peptidase activating factor 1"
"ENSG00000170703.15",2.04382001992515,0.900294146632857,4.38576946301625,0.000014407341595591,0.0000577316606612566,2.60176041360892,"ENSG00000170703","Up","TTLL6","tubulin tyrosine ligase like 6"
"ENSG00000278175.4",-0.731031341472598,-0.542807964235808,-4.38568105051156,0.0000144129543922389,0.0000577433625809744,2.50029176006752,"ENSG00000278175","NS","GLIDR","glioblastoma down-regulated RNA"
"ENSG00000007866.22",-0.539717784607338,5.71352816301368,-4.38557586135929,0.000014419634966255,0.0000577593372219473,1.89576726239249,"ENSG00000007866","NS","TEAD3","TEA domain transcription factor 3"
"ENSG00000085063.17",-0.576250047249355,7.07549165581596,-4.38552148217697,0.0000144230897554369,0.0000577623870952568,1.86948222758078,"ENSG00000085063","NS","CD59","CD59 molecule (CD59 blood group)"
