"gene","logFC","AveExpr","t","P.Value","adj.P.Val","sig"
"GGCT",1.17900334731784,-0.058096635356747,6.8433903096565,7.73445721241336e-12,8.89980049803032e-11,"Up"
"RPP25",1.17846820433052,-0.0546630093420942,6.84028413328973,7.90403641621344e-12,9.08682404035091e-11,"Up"
"HAUS6",1.1772149604529,-0.0588027859962545,6.83300982229885,8.31555587397088e-12,9.53443157496448e-11,"Up"
"R3HDML",1.1763120196107,-0.0478932243566762,6.82776880527905,8.62498710095423e-12,9.88043593385511e-11,"Up"
"SOX11",1.17594385289625,-0.0412524906514188,6.82563182362265,8.75436809648361e-12,1.00020012468151e-10,"Up"
"CDK5RAP1",1.17549403869675,-0.0511778628426233,6.82302092846193,8.91502447609754e-12,1.0167542061643e-10,"Up"
"CSF2",1.17503174875731,-0.0477122999424372,6.82033761929317,9.08314603541618e-12,1.03501325716284e-10,"Up"
"GPATCH2",1.17454168705323,-0.0532177301897982,6.81749311208762,9.26475913568768e-12,1.05324834750222e-10,"Up"
"ABHD11",1.17375240926916,-0.0539943573540986,6.81291183931057,9.56476466664636e-12,1.08414674371767e-10,"Up"
"FUBP1",1.17321641868555,-0.0575855794691091,6.80980074316795,9.77390024860415e-12,1.10615749105427e-10,"Up"
"NOL6",1.17273023321319,-0.0557979876942642,6.80697873510683,9.96747327714195e-12,1.12485072442567e-10,"Up"
"ZDHHC9",1.17113604949287,-0.0593869783216954,6.79772547772782,1.06289113716296e-11,1.19844692117701e-10,"Up"
"TTC13",1.17054277115157,-0.0497151928087223,6.79428186133687,1.08858886697856e-11,1.22527991231732e-10,"Up"
"ACTL6A",1.16991400317961,-0.0559538027585579,6.79063224943702,1.1164881343721e-11,1.25449307014509e-10,"Up"
"POLA1",1.16922529133483,-0.0590377851222432,6.78663470017184,1.14785117490596e-11,1.28861029635439e-10,"Up"
"C2CD4A",1.16899468946828,-0.0402552493985262,6.78529619796786,1.15854409496786e-11,1.29835449878283e-10,"Up"
"ADAM10",1.16880517369445,-0.0558455292842544,6.78419617529774,1.16740486265602e-11,1.30714889960069e-10,"Up"
"COL7A1",1.16869285647928,-0.0461614717382968,6.7835442428468,1.17268752233248e-11,1.31192509545244e-10,"Up"
"STAC3",1.16746044155466,-0.0477861815317923,6.77639083113529,1.2322124991518e-11,1.37256554633498e-10,"Up"
"SPC24",1.16742578573867,-0.0526081245733624,6.7761896754084,1.23392843718495e-11,1.37329101908962e-10,"Up"
"CENPM",1.16700700208849,-0.0589974265487899,6.77375889352807,1.25484991397865e-11,1.39308840427418e-10,"Up"
"BBC3",1.16696102429807,-0.0385317618020812,6.77349202069338,1.257167918409e-11,1.39434299050367e-10,"Up"
"ANKRD13B",1.16654924279423,-0.0483150143851612,6.77110188197201,1.27811605084627e-11,1.41514325664087e-10,"Up"
"TOP1MT",1.1665116149476,-0.0553295707415917,6.77088347543262,1.28004721390742e-11,1.41606595301817e-10,"Up"
"SART3",1.16504642138694,-0.0547007936785123,6.76237892670713,1.35750843835788e-11,1.49279636371511e-10,"Up"
"SLC4A11",1.16386391769686,-0.0541771148685896,6.75551521905756,1.4233560234137e-11,1.56121337976304e-10,"Up"
"PAWR",1.16363708518616,-0.0576564944385564,6.75419859564922,1.43634002134001e-11,1.56878492254571e-10,"Up"
"MLH3",1.16350102165743,-0.0555318067886221,6.75340883043257,1.44418394513206e-11,1.57601765721306e-10,"Up"
"CCDC34",1.16278583858165,-0.0573187846586815,6.74925763192959,1.48610837601648e-11,1.61902972485107e-10,"Up"
"HDAC8",1.16231671507473,-0.0532546560596277,6.74653465809869,1.51425357841446e-11,1.64830016100997e-10,"Up"
"TAF4",1.16203509193453,-0.0501895909412377,6.74490000873738,1.53139969634476e-11,1.66415540717364e-10,"Up"
"CLN6",1.16183236992118,-0.0555555935446304,6.74372333195794,1.5438596081151e-11,1.67628325631959e-10,"Up"
"YTHDF1",1.16178217822569,-0.056061874209834,6.74343199999241,1.54695984345399e-11,1.67823675531648e-10,"Up"
"HAUS7",1.15981318333834,-0.0496179182908374,6.7320031939907,1.67351128464222e-11,1.80944023978206e-10,"Up"
"TBL1XR1",1.15969336191473,-0.0569688097537304,6.73130770421866,1.68153144707302e-11,1.81658912360091e-10,"Up"
"MYO7A",1.15950469490609,-0.0459602696041772,6.73021260810926,1.69423608957754e-11,1.82878253719336e-10,"Up"
"TAF2",1.15921738355931,-0.0558462987269623,6.72854494220239,1.71376410272703e-11,1.846770523064e-10,"Up"
"STK4",1.15882842291581,-0.0556345639942993,6.7262872645591,1.74055257248572e-11,1.87250939386933e-10,"Up"
"C20orf144",1.15771066419569,-0.041352753473903,6.71979936169502,1.81983767373404e-11,1.94805694219878e-10,"Up"
"KRTCAP2",1.15696629668532,-0.0515465864131387,6.71547876547376,1.87458778239176e-11,2.00168110969133e-10,"Up"
"CLDN16",1.15635625736129,-0.0445811732859302,6.7119378618724,1.92065742061765e-11,2.04579356470248e-10,"Up"
"C1orf131",1.15609129895826,-0.0476585256871781,6.71039994107519,1.94101046384652e-11,2.06576682946834e-10,"Up"
"TYW1",1.15589546735397,-0.0487642988091915,6.70926325888835,1.95618903567571e-11,2.08020464725318e-10,"Up"
"GXYLT1",1.15396323948586,-0.0525812050659464,6.69804786285173,2.11232190269149e-11,2.23334755924734e-10,"Up"
"VCAN",1.15366045206573,-0.0591454022884025,6.69629036784421,2.13786958082772e-11,2.25665955180825e-10,"Up"
"SEZ6L2",1.15359885532995,-0.0458288694711148,6.69593283662457,2.14310371106511e-11,2.25998132335283e-10,"Up"
"GNL2",1.15276096255017,-0.0554359198059166,6.69106938365578,2.21556131067884e-11,2.32913817004453e-10,"Up"
"MCM7",1.15260887250468,-0.0593278188408379,6.69018659435257,2.22896821002007e-11,2.34132418086717e-10,"Up"
"MCM2",1.15251035594755,-0.0573993721066565,6.6896147662454,2.23769490198416e-11,2.34666882444664e-10,"Up"
"STMN1",1.15229818999269,-0.0595973884976427,6.68838327318578,2.25660250799307e-11,2.36457479696203e-10,"Up"
"TBCE",1.15215565616234,-0.0544532001212422,6.68755595184216,2.26939244266876e-11,2.37604651931691e-10,"Up"
"CORIN",1.1519791932622,-0.0480677833977019,6.68653169308702,2.28532527097037e-11,2.38885013535226e-10,"Up"
"WDR90",1.15189039262567,-0.0491531724851683,6.68601625993164,2.29338444492935e-11,2.39533327572014e-10,"Up"
"IMPG1",1.15100133033541,-0.0418602659037792,6.68085579938192,2.37562131190684e-11,2.4772141715672e-10,"Up"
"ZNF107",1.15004681484077,-0.0514606404284148,6.67531542318087,2.46712619237323e-11,2.56847947985652e-10,"Up"
"CPSF6",1.14840432809032,-0.0578470835393603,6.66578179637872,2.63272502838697e-11,2.73426088093104e-10,"Up"
"ALG3",1.14825467154391,-0.0518349900927605,6.66491313204305,2.64834362020272e-11,2.74385416522047e-10,"Up"
"STC2",1.14776259289062,-0.0468123343501267,6.66205691768606,2.70034046226656e-11,2.79100093131221e-10,"Up"
"ZNF697",1.14767219185371,-0.0438771581866008,6.66153219518942,2.71000099542578e-11,2.79874322177719e-10,"Up"
"HSPBAP1",1.14762139581846,-0.0484877780422993,6.66123735540272,2.71544405241453e-11,2.8021210265676e-10,"Up"
"SLC6A6",1.14726940985489,-0.0560131939916215,6.65919429306733,2.75345625942685e-11,2.83907532296937e-10,"Up"
"KBTBD2",1.14724419131213,-0.0546071155187378,6.65904791491538,2.75619960595909e-11,2.83963408284875e-10,"Up"
"RACGAP1",1.14699530441625,-0.0593345568540286,6.65760327934641,2.78341814485449e-11,2.86082156577514e-10,"Up"
"TARDBP",1.14684350022863,-0.0496440340302147,6.65672214927252,2.80014860448928e-11,2.87572586379835e-10,"Up"
"SRPK1",1.14672047367596,-0.0568767626190389,6.65600805569486,2.81377963373693e-11,2.88742589463585e-10,"Up"
"MAP4K4",1.14655896354667,-0.0569813691963432,6.65507058859079,2.83177318458891e-11,2.90358046963532e-10,"Up"
"PAM16",1.146433328649,-0.0436394681971277,6.65434135517241,2.84584777411185e-11,2.91338019351339e-10,"Up"
"NSUN2",1.14639034565222,-0.0563898243906844,6.65409186527544,2.85067876277697e-11,2.91601152744331e-10,"Up"
"PIWIL1",1.14591178027824,-0.0491093244114864,6.65131408720528,2.90501134067228e-11,2.96453649393447e-10,"Up"
"ADAT1",1.14558198321914,-0.0533046402694194,6.64939981783228,2.94304250566803e-11,2.99860231284455e-10,"Up"
"ADAP1",1.14439190413459,-0.0539384661062982,6.64249213967051,3.08437389816395e-11,3.1351724911282e-10,"Up"
"ANAPC1",1.14412663081956,-0.057233842866999,6.64095239100261,3.11677113189489e-11,3.16560872679624e-10,"Up"
"LYAR",1.14348875345673,-0.058743955848466,6.63724990468356,3.19604305361662e-11,3.23901575211205e-10,"Up"
"DHX9",1.14346454649742,-0.0567263292805672,6.63710939815224,3.19908990479165e-11,3.23901575211205e-10,"Up"
"FKTN",1.14332694497962,-0.0510811515206495,6.63631070585365,3.21646344284592e-11,3.25405191758976e-10,"Up"
"CHI3L1",1.1431435998836,-0.0588665967358499,6.63524650017833,3.23975611064232e-11,3.27504812470026e-10,"Up"
"SUZ12",1.14228206849267,-0.0553246090215293,6.63024583959026,3.35143644275343e-11,3.38163232948557e-10,"Up"
"CHAF1A",1.14226977781373,-0.055139629398285,6.63017449974769,3.35305663184126e-11,3.38163232948557e-10,"Up"
"SFMBT1",1.14160585557737,-0.0509196634411487,6.6263208389341,3.44172498995475e-11,3.46563705272649e-10,"Up"
"UTP14A",1.13991113461935,-0.0532958317101979,6.6164840246383,3.67859367859689e-11,3.68974960032825e-10,"Up"
"NOL11",1.13981151804897,-0.0553922279024423,6.61590581162983,3.69300272586776e-11,3.70132417723141e-10,"Up"
"ZNF765",1.13947069930796,-0.0482482960184812,6.61392756816273,3.74271943567221e-11,3.74824052800744e-10,"Up"
"CENPP",1.13943372785121,-0.0555932580593004,6.61371297156346,3.74815183927841e-11,3.75076885763011e-10,"Up"
"CCAR1",1.13909339543131,-0.0552003702340145,6.61173755089163,3.79852239471498e-11,3.79822793561461e-10,"Up"
"MMP13",1.1385301411944,-0.0526146250530119,6.60846820598648,3.88334522233692e-11,3.87703328350805e-10,"Up"
"PDGFRB",1.13819632103737,-0.0566041638842538,6.60653058500092,3.93448841963485e-11,3.92505538475405e-10,"Up"
"TDRD6",1.13747295590004,-0.043907352533434,6.60233189465589,4.04758406735526e-11,4.02853293864317e-10,"Up"
"FGD6",1.13698869368592,-0.058246112194394,6.59952104992761,4.12506793651176e-11,4.10248660856324e-10,"Up"
"ZNF217",1.13659886045056,-0.0517621025840871,6.59725830742454,4.18849554690908e-11,4.15595415842925e-10,"Up"
"CSTF3",1.13631455049124,-0.0599815383496424,6.59560806272844,4.23535481234843e-11,4.19599398805548e-10,"Up"
"FERMT1",1.13607201641217,-0.0578843424257197,6.59420030135931,4.27573379362785e-11,4.22950078251577e-10,"Up"
"RNF207",1.13512630625764,-0.0463135212228941,6.58871103474952,4.43681194366666e-11,4.3821161762141e-10,"Up"
