"Package","Version"
"shadowtext","0.1.6"
"shape","1.4.6.1"
"shiny","1.13.0"
"SingleCellExperiment","1.24.0"
"singscore","1.20.0"
"sitmo","2.0.2"
"snow","0.4-4"
"som","0.3-5.2"
"sourcetools","0.1.7-2"
"sp","2.2-1"
"spam","2.11-3"
"SparseArray","1.2.2"
"SparseM","1.84-2"
"sparseMatrixStats","1.14.0"
"sparsevctrs","0.3.4"
"spatstat.data","3.1-9"
"spatstat.explore","3.8-0"
"spatstat.geom","3.7-3"
"spatstat.random","3.4-5"
"spatstat.sparse","3.1-0"
"spatstat.univar","3.2-0"
"spatstat.utils","3.2-3"
"splines","4.3.3"
"SQUAREM","2021.1"
"SRAdb","1.64.0"
"statmod","1.5.0"
"stats","4.3.3"
"stats4","4.3.3"
"stringi","1.8.7"
"stringr","1.6.0"
"SummarizedExperiment","1.32.0"
"survC1","1.0-3"
"survIDINRI","1.1-2"
"survival","3.8-3"
"survivalROC","1.0.3.1"
"survminer","0.5.2"
"sva","3.50.0"
"sys","3.4.3"
"systemfonts","1.3.2"
"TCGAbiolinks","2.30.4"
"TCGAbiolinksGUI.data","1.22.0"
"tcltk","4.3.3"
"tensor","1.5.1"
"tensorA","0.36.2"
"tester","0.3.0"
"testit","1.0"
"testthat","3.2.3"
"textshaping","1.0.3"
"TH.data","1.1-4"
"tibble","3.3.1"
"tidygraph","1.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tidytree","0.4.6"
"tidyverse","2.0.0"
"timechange","0.3.0"
"timeDate","4041.110"
"timereg","2.0.7"
"tinytex","0.59"
"TMB","1.9.17"
"tools","4.3.3"
"treeio","1.26.0"
"triebeard","0.4.1"
"truncnorm","1.0-9"
"tweedie","2.3.5"
"tweenr","2.0.3"
"TwoSampleMR","0.7.6"
"tzdb","0.5.0"
"UCell","2.6.2"
"urca","1.3-4"
"urlchecker","1.0.1"
"urltools","1.7.3.1"
"usethis","3.2.1"
"utf8","1.2.6"
"utils","4.3.3"
"uuid","1.2-1"
"uwot","0.2.4"
"vctrs","0.7.3"
"vegan","2.7-1"
"viridis","0.6.5"
"viridisLite","0.4.3"
"vroom","1.7.1"
"waldo","0.6.2"
"WGCNA","1.74"
"whisker","0.4.1"
"withr","3.0.2"
"Wrench","1.20.0"
"WriteXLS","6.8.0"
"xCell","1.1.0"
"xfun","0.57"
"XML","3.99-0.17"
"xml2","1.4.0"
"xopen","1.0.1"
"xtable","1.8-8"
"XVector","0.42.0"
"yaml","2.3.12"
"yulab.utils","0.2.1"
"zip","2.3.3"
"zlibbioc","1.48.0"
"zoo","1.8-15"
