"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_BILE_ACID_METABOLISM",1.31723546946114e-13,5.98743395209608e-13,0.943632225232838,-0.577831518116222,-2.65273673690308,112,"9963;5827;6258;654;223;64241;6256;23417;64137;54884;8424;6342;92960;2053;335;25824;5824;54677;847;55825;26061;4306;6820;8412;367;27284;27232;5264;51703;10350"
"HALLMARK_HYPOXIA",5.86737811932597e-12,2.44474088305249e-11,0.887074988399873,-0.458188286192339,-2.29159311117597,199,"6518;10370;5292;229;7538;4601;5507;3725;8839;1026;230;2203;5837;1843;3098;10957;25976;55577;467;6095;2355;23764;2745;25824;5105;10994;7360;5317;8991;57007"
"HALLMARK_KRAS_SIGNALING_DN",9.82959177052604e-10,3.78061221943309e-09,0.788186810800237,-0.423297894767856,-2.11348832673566,200,"3848;7832;1158;9992;5071;7704;22849;7021;3866;27076;55220;64137;5164;7051;26548;6446;54855;4842;6528;79085;495;1358;3779;5317;9194;50489;1907;3963;10753;57016"
"HALLMARK_MITOTIC_SPINDLE",1.25544727823874e-09,4.48374027942409e-09,0.788186810800237,0.437427621514509,2.08225682725893,199,"1894;9493;1063;54443;22974;699;7153;9735;1062;10403;24137;56992;11004;4751;9585;675;983;3832;9787;9793;7272;6790;9055;163786;9133;55722;5347;26271;80119;4001"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",1.83231798713698e-09,6.10772662378994e-09,0.788186810800237,-0.419344754767141,-2.09375065416811,200,"7071;9314;55793;8839;7739;7074;28966;3866;79875;360;375449;26353;9022;2289;25976;645;7031;5029;744;23541;267;399665;23254;403;5241;9368;6840;18;27295;3983"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2.429580787225e-08,7.59243996007812e-08,0.73376198835648,0.417542467480637,1.99298149566058,200,"1301;3624;115908;8038;1277;633;2191;6696;4232;4314;1290;79709;871;3918;3576;6424;1311;1281;4982;7058;56937;649;4148;1278;8985;64175;2919;7076;7070;25878"
"HALLMARK_P53_PATHWAY",8.29987215982284e-08,2.44113887053613e-07,0.704975715167238,-0.394027451610078,-1.96734363597061,200,"7832;22891;5372;29948;9314;2872;64061;4084;3725;100;2052;1026;7704;3275;6256;10628;54884;247;467;23479;18;1606;8626;29946;2353;10458;8673;677;6236;7164"
"HALLMARK_ESTROGEN_RESPONSE_LATE",3.40733475983894e-07,9.46481877733039e-07,0.674962860011025,-0.384391360218606,-1.91923149810515,200,"9314;7538;8839;7074;224;1152;26353;9022;2289;2852;2171;6280;4338;8309;6446;645;7031;27250;57758;267;399665;403;5241;9368;5577;3613;27295;7263;4057;2353"
"HALLMARK_PEROXISOME",1.33677122211609e-05,3.51781900556866e-05,0.593325476396405,-0.434227603395615,-1.96344650861809,103,"291;30;6258;223;23417;54884;6342;2053;25824;847;3155;1382;51;6820;51703;10005;7555;51024;706;3295;7367;1384;9525;10057;10455;9249;1742;6310;373156;51170"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",3.74456500591503e-05,9.36141251478757e-05,0.557332238758646,0.434021332804211,1.85677475386046,97,"8767;87178;54625;6373;3627;10437;4061;103;841;27074;85441;9111;116071;83666;7453;6773;5359;94240;115361;961;55072;5610;10410;135112;8519;10964;10561;9636;6890;10544"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",5.91909364575034e-05,0.000134980254028316,0.557332238758646,-0.529247319626188,-2.05532889124393,48,"2878;3726;2745;847;5621;7001;3163;9588;4482;4700;4046;4710;10587;1728;475;4720;6647;7295;140809;5052;4155;2879;55829"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",5.93913117724589e-05,0.000134980254028316,0.557332238758646,-0.336662164620198,-1.68378965697385,199,"7832;4780;4616;7071;9314;5187;7538;1847;4084;687;3725;388;8013;2354;1026;1843;10365;3726;10957;1052;8613;1958;25976;467;6446;2355;23764;7280;9021;57007"
"HALLMARK_ANGIOGENESIS",0.000110885474477824,0.000241055379299618,0.538434096309916,0.571987314900396,1.99396199817529,36,"4973;6696;1290;1281;7076;1462;6372;7410;5747;4487;3714;7422;6781;350;8829;4060;7448"
"HALLMARK_UV_RESPONSE_DN",0.000133800182463194,0.000278750380131655,0.518848077743792,-0.364529645709658,-1.74164636505898,144,"10370;1843;6256;8613;7049;10486;5577;5376;8405;493;23229;3815;9863;1902;3397;1628;4493;11030;5607;50937;11099;7436;4131;10659;2908;390;657;10395;11343;3778"
"HALLMARK_ANDROGEN_RESPONSE",0.000297600950682653,0.000595201901365305,0.49849310876659,-0.387526865577772,-1.73643436267192,100,"22936;8031;4094;3248;51465;9510;2289;23171;6446;4189;6722;8611;6414;5867;10397;11099;3977;9218;8848;6675;2185;9590;57178;9455;1622;658;8916;1836;87;1718"
