"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"mitoxantrone CTD 00006345","2/255",0.572408925124986,0.913493831024205,0,0,1.04673645977994,0.58397598647027,"COL11A1;MAGEA6"
"ETHYLENE GLYCOL BOSS","1/116",0.583474239881795,0.92923675240434,0,0,1.1517362124307,0.620503615278083,"IGFBP1"
"Ethylene dimethacrylate BOSS","1/118",0.589735009661575,0.937279050262956,0,0,1.13193368898067,0.597753782733344,"IGFBP1"
"Nandrolone phenpropionate BOSS","1/119",0.592830249536587,0.939244140763142,0,0,1.12228415424866,0.586783103040521,"IGFBP1"
"Premarin CTD 00005926","2/265",0.593398430017024,0.939244140763142,0,0,1.00642277258247,0.525241192623566,"MMP3;HOXC13"
"staurosporine TTD 00011086","1/121",0.598951309210783,0.946098598630911,0,0,1.10346756152125,0.565609853306459,"NPSR1"
"cycloheximide BOSS","1/122",0.601977473130805,0.948942085953652,0,0,1.09429252870376,0.55539203696771,"IGFBP1"
"ARSENIC BOSS","1/123",0.604980953737634,0.951738329660425,0,0,1.08526790626031,0.545410397131897,"IGFBP1"
"SELENIUM BOSS","1/124",0.60796191996169,0.954487882455067,0,0,1.07639002564522,0.53565799449055,"IGFBP1"
"oxiglutatione BOSS","1/125",0.610920539401407,0.957191290479127,0,0,1.06765533665296,0.526128141983069,"FEZF1"
"citric acid BOSS","1/126",0.613856978413518,0.959239833094357,0,0,1.05906040268456,0.516814393671165,"IGFBP1"
"daidzein CTD 00000166","1/127",0.616771402248865,0.959239833094357,0,0,1.05060189623948,0.50771053410457,"IBSP"
"solanine HL60 UP","1/127",0.616771402248865,0.959239833094357,0,0,1.05060189623948,0.50771053410457,"APOA2"
"Oxotremorine BOSS","1/128",0.619663974867156,0.959239833094357,0,0,1.0422765946203,0.498810568768154,"IGFBP1"
"alpha-GalNAc BOSS","1/128",0.619663974867156,0.959239833094357,0,0,1.0422765946203,0.498810568768154,"FEZF1"
"L-histidine BOSS","1/128",0.619663974867156,0.959239833094357,0,0,1.0422765946203,0.498810568768154,"FEZF1"
"rosiglitazone BOSS","1/129",0.62253485903861,0.959844583457936,0,0,1.03408137583893,0.490108714522158,"IGFBP1"
"trichostatin A BOSS","1/129",0.62253485903861,0.959844583457936,0,0,1.03408137583893,0.490108714522158,"MMP3"
"Docosahexaenoic acid BOSS","1/131",0.628212206787294,0.966672461338698,0,0,1.018069179143,0.473277211198341,"IGFBP1"
"1-Methyl-3-nitro-1-nitrosoguanidine CTD 00006318","1/132",0.631018989802208,0.967583542222822,0,0,1.01024642655874,0.465136974890384,"WNT2"
"lanatoside C PC3 DOWN","1/133",0.633804723394019,0.967583542222822,0,0,1.00254220052878,0.457173659249914,"HOXA11"
"isoproterenol BOSS","1/133",0.633804723394019,0.967583542222822,0,0,1.00254220052878,0.457173659249914,"IGFBP1"
"ACRYLAMIDE BOSS","1/133",0.633804723394019,0.967583542222822,0,0,1.00254220052878,0.457173659249914,"FEZF1"
"primaquine PC3 UP","3/434",0.635227815746701,0.967847105094383,0,0,0.919503764382783,0.417244675496971,"ALPP;SAGE1;SSX1"
"3,4-DICHLOROANILINE CTD 00000754","1/135",0.639313668266785,0.968353775417792,0,0,0.987478713813483,0.44175854790447,"MUC16"
"9001-31-4 BOSS","1/135",0.639313668266785,0.968353775417792,0,0,0.987478713813483,0.44175854790447,"IGFBP1"
"retinol BOSS","1/135",0.639313668266785,0.968353775417792,0,0,0.987478713813483,0.44175854790447,"IGFBP1"
"chlortetracycline HL60 UP","2/289",0.640627250812133,0.968448226813654,0,0,0.921131933327055,0.410186961346458,"CGB5;CTAG2"
"Ethene BOSS","1/136",0.642037189650912,0.968687689648745,0,0,0.98011434253045,0.434297534391419,"FEZF1"
"4-Hydroxytamoxifen CTD 00000850","4/586",0.644212470704037,0.970078701021254,0,0,0.90702819752389,0.398844501443909,"IGFBP1;NPSR1;HOXC13;WNT2"
"3-methylcholanthrene CTD 00006310","2/297",0.655389152764969,0.972416215124923,0,0,0.895785616124599,0.3784927969152,"HOXC11;HOXC10"
"diuron CTD 00005864","1/143",0.660538268075225,0.972416215124923,0,0,0.931468002646753,0.386279984370907,"MUC16"
"CADMIUM BOSS","1/143",0.660538268075225,0.972416215124923,0,0,0.931468002646753,0.386279984370907,"FEZF1"
"genistein BOSS","1/143",0.660538268075225,0.972416215124923,0,0,0.931468002646753,0.386279984370907,"IGFBP1"
"atorvastatin BOSS","1/143",0.660538268075225,0.972416215124923,0,0,0.931468002646753,0.386279984370907,"IGFBP1"
"zuclopenthixol PC3 UP","2/301",0.662588292101607,0.972416215124923,0,0,0.883621079273253,0.363699725347903,"SAGE1;SSX1"
"ouabain PC3 DOWN","1/144",0.663102555572851,0.972416215124923,0,0,0.924907307457643,0.37997561491806,"HOXA11"
