"gene","module","MM","GS","GS_trait","hubScore"
"PHYHIP","turquoise",0.623,-0.256,"status_Tumor",0.159
"KCNIP3","turquoise",0.623,-0.239,"status_Tumor",0.149
"BOLA3-DT","turquoise",0.623,-0.189,"status_Tumor",0.118
"PCDHB7","turquoise",0.623,-0.062,"status_Tumor",0.039
"NPPC","turquoise",0.622,-0.417,"status_Tumor",0.259
"TSPYL5","turquoise",0.622,-0.148,"status_Tumor",0.092
"TENM1","turquoise",0.622,-0.102,"status_Tumor",0.063
"NPY","turquoise",0.621,-0.317,"status_Tumor",0.197
"MS4A2","turquoise",0.621,-0.278,"status_Tumor",0.173
"OLFM1","turquoise",0.621,-0.252,"status_Tumor",0.156
"ZNF880","turquoise",0.621,-0.19,"status_Tumor",0.118
"KLF12","turquoise",0.621,-0.113,"status_Tumor",0.07
"SLC24A3","turquoise",0.621,-0.097,"status_Tumor",0.06
"CES1","turquoise",0.62,-0.27,"status_Tumor",0.167
"SLITRK4","turquoise",0.62,-0.186,"status_Tumor",0.115
"EMX2OS","turquoise",0.62,-0.114,"status_Tumor",0.071
"ZFHX4-AS1","turquoise",0.62,0.015,"status_Tumor",0.009
"SERP2","turquoise",0.619,-0.282,"status_Tumor",0.174
"ARHGAP24","turquoise",0.619,-0.265,"status_Tumor",0.164
"NLGN4X","turquoise",0.619,-0.174,"status_Tumor",0.108
"BMPR1B","turquoise",0.619,-0.141,"status_Tumor",0.087
"CDK14","turquoise",0.619,-0.079,"status_Tumor",0.049
"LINC00865","turquoise",0.618,-0.298,"status_Tumor",0.184
"STEAP4","turquoise",0.618,-0.14,"status_Tumor",0.087
"LOXL4","turquoise",0.618,-0.098,"status_Tumor",0.061
"TSPY26P","turquoise",0.617,-0.131,"status_Tumor",0.081
"LINC00163","turquoise",0.616,-0.214,"status_Tumor",0.132
"CHST15","turquoise",0.616,-0.214,"status_Tumor",0.132
"CDKL2","turquoise",0.616,-0.172,"status_Tumor",0.106
"EPHA5","turquoise",0.616,-0.15,"status_Tumor",0.092
"ZNF676","turquoise",0.616,-0.149,"status_Tumor",0.092
"ZFP82","turquoise",0.616,-0.128,"status_Tumor",0.079
"PCYT1B","turquoise",0.616,-0.083,"status_Tumor",0.051
"PRRT4","turquoise",0.615,-0.425,"status_Tumor",0.261
"CBFA2T3","turquoise",0.615,-0.271,"status_Tumor",0.167
"LINC01638","turquoise",0.615,0.07,"status_Tumor",0.043
"KLF15","turquoise",0.614,-0.395,"status_Tumor",0.243
"SCUBE1","turquoise",0.614,-0.359,"status_Tumor",0.22
"LINC00908","turquoise",0.614,-0.256,"status_Tumor",0.157
"SEMA3D","turquoise",0.614,-0.225,"status_Tumor",0.138
"FBXO17","turquoise",0.614,-0.147,"status_Tumor",0.09
"ALPK3","turquoise",0.614,-0.077,"status_Tumor",0.047
"FRMD6-AS1","turquoise",0.613,-0.325,"status_Tumor",0.199
"ST6GAL2","turquoise",0.613,-0.198,"status_Tumor",0.121
"SBSPON","turquoise",0.611,-0.316,"status_Tumor",0.193
"SMPX","turquoise",0.61,-0.187,"status_Tumor",0.114
"MLLT11","turquoise",0.61,-0.166,"status_Tumor",0.101
"MAP2","turquoise",0.61,-0.138,"status_Tumor",0.084
"MYL3","turquoise",0.609,-0.275,"status_Tumor",0.168
"DGKI","turquoise",0.609,0.232,"status_Tumor",0.141
"FAM184A","turquoise",0.609,-0.146,"status_Tumor",0.089
"ZNF610","turquoise",0.609,-0.142,"status_Tumor",0.087
"FGF13-AS1","turquoise",0.608,-0.101,"status_Tumor",0.061
"LRP1B","turquoise",0.607,-0.268,"status_Tumor",0.163
"TUBB4A","turquoise",0.607,-0.247,"status_Tumor",0.15
"MYH10","turquoise",0.607,0.028,"status_Tumor",0.017
"PAMR1","turquoise",0.606,-0.33,"status_Tumor",0.2
"ANO5","turquoise",0.606,-0.25,"status_Tumor",0.152
"SCG2","turquoise",0.606,-0.222,"status_Tumor",0.135
"ISL1","turquoise",0.606,-0.145,"status_Tumor",0.088
"DDIT4L","turquoise",0.605,-0.02,"status_Tumor",0.012
"DOCK3","turquoise",0.604,-0.2,"status_Tumor",0.121
"HPCAL4","turquoise",0.603,-0.481,"status_Tumor",0.29
"RERGL","turquoise",0.603,-0.366,"status_Tumor",0.221
"F13A1","turquoise",0.603,-0.287,"status_Tumor",0.173
"NPY5R","turquoise",0.603,-0.258,"status_Tumor",0.155
"CDH10","turquoise",0.603,-0.235,"status_Tumor",0.142
"PDGFRA","turquoise",0.603,-0.172,"status_Tumor",0.104
"ZNF790-AS1","turquoise",0.603,-0.168,"status_Tumor",0.101
"MMP16","turquoise",0.603,0.085,"status_Tumor",0.051
"SLC27A6","turquoise",0.601,-0.316,"status_Tumor",0.19
"PID1","turquoise",0.601,-0.282,"status_Tumor",0.169
"SHISA4","turquoise",0.601,-0.15,"status_Tumor",0.09
"MARK1","turquoise",0.601,-0.119,"status_Tumor",0.072
"ZNF470","turquoise",0.6,-0.218,"status_Tumor",0.131
"PTGER1","turquoise",0.6,-0.159,"status_Tumor",0.095
"ZMAT1","turquoise",0.6,-0.141,"status_Tumor",0.084
"TNR","turquoise",0.6,-0.126,"status_Tumor",0.076
"DCX","turquoise",0.6,-0.076,"status_Tumor",0.046
"CHST3","turquoise",0.599,-0.146,"status_Tumor",0.087
"UCHL1","turquoise",0.599,-0.11,"status_Tumor",0.066
"MYRIP","turquoise",0.597,-0.359,"status_Tumor",0.214
"MASP1","turquoise",0.597,-0.327,"status_Tumor",0.195
"PTPRS","turquoise",0.597,-0.278,"status_Tumor",0.166
"DPP10","turquoise",0.597,-0.239,"status_Tumor",0.143
"AVPR1A","turquoise",0.597,-0.064,"status_Tumor",0.038
"SNCG","turquoise",0.596,-0.335,"status_Tumor",0.2
"TRPS1","turquoise",0.596,-0.107,"status_Tumor",0.064
"BMX","turquoise",0.595,-0.275,"status_Tumor",0.164
"CCDC85A","turquoise",0.595,-0.207,"status_Tumor",0.123
"ANTXR2","turquoise",0.595,-0.192,"status_Tumor",0.114
"FREM1","turquoise",0.593,-0.097,"status_Tumor",0.058
"CKMT2","turquoise",0.592,-0.518,"status_Tumor",0.306
"CD36","turquoise",0.592,-0.367,"status_Tumor",0.217
"CCL21","turquoise",0.592,-0.29,"status_Tumor",0.172
"ANKRD33B","turquoise",0.592,-0.252,"status_Tumor",0.149
"SLC6A16","turquoise",0.592,-0.192,"status_Tumor",0.114
"SLC4A3","turquoise",0.592,-0.132,"status_Tumor",0.078
"C1QL1","turquoise",0.591,-0.464,"status_Tumor",0.274
"STOX2","turquoise",0.591,-0.261,"status_Tumor",0.154
"ZNF518B","turquoise",0.591,-0.193,"status_Tumor",0.114
"OBSL1","turquoise",0.591,-0.129,"status_Tumor",0.077
"CLU","turquoise",0.59,-0.278,"status_Tumor",0.164
"NALCN","turquoise",0.59,0.137,"status_Tumor",0.081
"TRABD2B","turquoise",0.59,-0.023,"status_Tumor",0.014
"P2RX2","turquoise",0.589,-0.484,"status_Tumor",0.285
"HEPACAM","turquoise",0.589,-0.249,"status_Tumor",0.147
"GNAZ","turquoise",0.588,-0.275,"status_Tumor",0.162
"BEX3","turquoise",0.588,-0.219,"status_Tumor",0.129
"CD302","turquoise",0.588,-0.184,"status_Tumor",0.108
"IQSEC3","turquoise",0.587,-0.145,"status_Tumor",0.085
"SMIM10L2A","turquoise",0.586,-0.355,"status_Tumor",0.208
"ALDH1A2","turquoise",0.586,-0.296,"status_Tumor",0.173
"PTGS1","turquoise",0.585,-0.44,"status_Tumor",0.257
"PRPH","turquoise",0.585,-0.236,"status_Tumor",0.138
"COL4A3","turquoise",0.583,-0.092,"status_Tumor",0.054
"NKX3-2","turquoise",0.583,-0.082,"status_Tumor",0.048
"HPGDS","turquoise",0.582,-0.328,"status_Tumor",0.191
"TOX-DT","turquoise",0.582,-0.297,"status_Tumor",0.173
"AHNAK2","turquoise",0.582,-0.142,"status_Tumor",0.082
"SYT10","turquoise",0.581,-0.39,"status_Tumor",0.227
"MAPK8IP1","turquoise",0.581,-0.222,"status_Tumor",0.129
"NDNF","turquoise",0.581,-0.198,"status_Tumor",0.115
"ADRA1D","turquoise",0.581,-0.163,"status_Tumor",0.095
"ST8SIA6","turquoise",0.579,-0.347,"status_Tumor",0.201
"CX3CR1","turquoise",0.579,-0.17,"status_Tumor",0.099
"ZNF528","turquoise",0.579,-0.166,"status_Tumor",0.096
"CHRNB4","turquoise",0.579,-0.161,"status_Tumor",0.093
"GREB1","turquoise",0.579,0.084,"status_Tumor",0.049
"CKB","turquoise",0.577,-0.389,"status_Tumor",0.224
"DSCAML1","turquoise",0.577,-0.268,"status_Tumor",0.155
"VLDLR-AS1","turquoise",0.577,-0.205,"status_Tumor",0.118
"GABBR1","turquoise",0.577,-0.092,"status_Tumor",0.053
"CCKAR","turquoise",0.576,-0.328,"status_Tumor",0.189
"LIFR","turquoise",0.576,-0.306,"status_Tumor",0.176
"ABCB5","turquoise",0.576,-0.125,"status_Tumor",0.072
"GLI2","turquoise",0.576,0.078,"status_Tumor",0.045
"LINC01082","turquoise",0.575,-0.402,"status_Tumor",0.231
"RHEX","turquoise",0.575,-0.317,"status_Tumor",0.182
"TENM2","turquoise",0.575,-0.276,"status_Tumor",0.158
"GPR27","turquoise",0.575,-0.275,"status_Tumor",0.158
"TENT5B","turquoise",0.574,-0.296,"status_Tumor",0.17
"DRP2","turquoise",0.574,-0.015,"status_Tumor",0.009
"CCDC9B","turquoise",0.573,-0.206,"status_Tumor",0.118
"RARRES2","turquoise",0.573,-0.166,"status_Tumor",0.095
"RET","turquoise",0.573,-0.122,"status_Tumor",0.07
"TSPAN7","turquoise",0.572,-0.301,"status_Tumor",0.172
"STAC","turquoise",0.572,-0.081,"status_Tumor",0.046
"HS6ST3","turquoise",0.571,-0.336,"status_Tumor",0.192
"LINC01550","turquoise",0.571,-0.28,"status_Tumor",0.16
"SCN9A","turquoise",0.571,-0.087,"status_Tumor",0.05
"RBM20","turquoise",0.57,-0.318,"status_Tumor",0.182
"HCG23","turquoise",0.57,-0.269,"status_Tumor",0.154
"ALDH1A3","turquoise",0.57,-0.009,"status_Tumor",0.005
"PCARE","turquoise",0.569,-0.447,"status_Tumor",0.254
"NKAIN3","turquoise",0.569,-0.214,"status_Tumor",0.122
"ARHGAP6","turquoise",0.569,-0.157,"status_Tumor",0.09
"CFH","turquoise",0.569,-0.102,"status_Tumor",0.058
"KCNA4","turquoise",0.569,-0.095,"status_Tumor",0.054
"LINC01697","turquoise",0.568,-0.333,"status_Tumor",0.189
"EPHA4","turquoise",0.568,-0.155,"status_Tumor",0.088
"SEMA3A","turquoise",0.568,-0.067,"status_Tumor",0.038
"SLCO2A1","turquoise",0.567,-0.206,"status_Tumor",0.117
"CNTNAP3","turquoise",0.567,-0.203,"status_Tumor",0.115
"HPSE2","turquoise",0.566,-0.439,"status_Tumor",0.249
"NME5","turquoise",0.566,-0.298,"status_Tumor",0.169
"TOX","turquoise",0.566,-0.258,"status_Tumor",0.146
"NRG3","turquoise",0.566,-0.222,"status_Tumor",0.126
"FMO2","turquoise",0.566,-0.188,"status_Tumor",0.106
"TMT1A","turquoise",0.564,-0.424,"status_Tumor",0.239
"EBF2","turquoise",0.564,0.154,"status_Tumor",0.087
"COL4A4","turquoise",0.564,0.001,"status_Tumor",0.001
"GCSAML","turquoise",0.563,-0.272,"status_Tumor",0.153
"SHF","turquoise",0.562,-0.294,"status_Tumor",0.165
"RRAD","turquoise",0.562,-0.211,"status_Tumor",0.119
"SRL","turquoise",0.562,-0.139,"status_Tumor",0.078
"DUSP1","turquoise",0.561,-0.389,"status_Tumor",0.218
"AK5","turquoise",0.561,-0.251,"status_Tumor",0.141
"LINC00689","turquoise",0.561,-0.217,"status_Tumor",0.122
"OSR1","turquoise",0.561,-0.199,"status_Tumor",0.112
"PCDHB12","turquoise",0.561,-0.014,"status_Tumor",0.008
"SMARCA1","turquoise",0.56,-0.155,"status_Tumor",0.087
"LINC01581","turquoise",0.56,-0.039,"status_Tumor",0.022
"WFDC1","turquoise",0.559,-0.299,"status_Tumor",0.167
"ACSM5","turquoise",0.559,-0.248,"status_Tumor",0.139
"CYP27C1","turquoise",0.559,-0.118,"status_Tumor",0.066
"KLHL33","turquoise",0.559,-0.117,"status_Tumor",0.065
"FMOD","turquoise",0.559,-0.107,"status_Tumor",0.06
"PLEKHH2","turquoise",0.559,-0.026,"status_Tumor",0.015
"DPYSL5","turquoise",0.559,0.022,"status_Tumor",0.012
"VAT1L","turquoise",0.558,-0.246,"status_Tumor",0.137
"ZNF793","turquoise",0.558,-0.22,"status_Tumor",0.123
"KLHL13","turquoise",0.558,-0.213,"status_Tumor",0.119
"NANOS1","turquoise",0.558,-0.202,"status_Tumor",0.113
"C14orf39","turquoise",0.558,-0.191,"status_Tumor",0.107
"ANKRD29","turquoise",0.557,-0.238,"status_Tumor",0.132
"PCDHGB5","turquoise",0.557,-0.2,"status_Tumor",0.111
"PCDHGA4","turquoise",0.557,-0.098,"status_Tumor",0.055
"IL17RD","turquoise",0.557,-0.044,"status_Tumor",0.024
"CACNA1C-AS4","turquoise",0.557,0.026,"status_Tumor",0.014
"PCDH7","turquoise",0.556,-0.163,"status_Tumor",0.091
"LEFTY2","turquoise",0.556,-0.059,"status_Tumor",0.033
"CYP11A1","turquoise",0.555,-0.321,"status_Tumor",0.178
"PTPRD","turquoise",0.555,-0.2,"status_Tumor",0.111
"SEMA3E","turquoise",0.555,-0.183,"status_Tumor",0.102
"FZD7","turquoise",0.555,-0.095,"status_Tumor",0.052
"ADAMTSL4","turquoise",0.554,-0.279,"status_Tumor",0.155
"HEYL","turquoise",0.554,0.24,"status_Tumor",0.133
"IL34","turquoise",0.554,-0.191,"status_Tumor",0.106
"KLHL29","turquoise",0.554,-0.001,"status_Tumor",0.001
"PCOLCE2","turquoise",0.553,-0.343,"status_Tumor",0.19
"TRIM58","turquoise",0.553,-0.251,"status_Tumor",0.139
"ARHGAP28","turquoise",0.553,-0.197,"status_Tumor",0.109
"GDNF","turquoise",0.553,-0.196,"status_Tumor",0.108
"PLAGL1","turquoise",0.553,-0.141,"status_Tumor",0.078
"GPX7","turquoise",0.553,-0.09,"status_Tumor",0.05
"STK32B","turquoise",0.552,-0.321,"status_Tumor",0.177
"ABCA10","turquoise",0.552,-0.135,"status_Tumor",0.075
"GALNT13","turquoise",0.552,-0.091,"status_Tumor",0.05
"LY6H","turquoise",0.551,-0.359,"status_Tumor",0.198
"ST8SIA3","turquoise",0.551,-0.276,"status_Tumor",0.152
"CYTL1","turquoise",0.551,-0.269,"status_Tumor",0.148
"CDH2","turquoise",0.55,-0.101,"status_Tumor",0.055
"LRRC2","turquoise",0.549,-0.25,"status_Tumor",0.137
"FLG-AS1","turquoise",0.549,-0.204,"status_Tumor",0.112
"MAOB","turquoise",0.548,-0.321,"status_Tumor",0.176
"ITM2A","turquoise",0.548,-0.317,"status_Tumor",0.174
"CADM1","turquoise",0.548,-0.19,"status_Tumor",0.104
"PRND","turquoise",0.548,0.143,"status_Tumor",0.079
"CIMAP3","turquoise",0.547,-0.169,"status_Tumor",0.093
"TMEM132E","turquoise",0.547,-0.113,"status_Tumor",0.062
"ADGRL3","turquoise",0.546,-0.279,"status_Tumor",0.152
"ZNF347","turquoise",0.546,-0.148,"status_Tumor",0.081
"HGF","turquoise",0.546,0.032,"status_Tumor",0.018
"S100B","turquoise",0.545,-0.422,"status_Tumor",0.23
"SRSF12","turquoise",0.545,-0.008,"status_Tumor",0.004
"EPB41L3","turquoise",0.544,-0.307,"status_Tumor",0.167
"SEMA6D","turquoise",0.544,-0.276,"status_Tumor",0.15
"KCNS2","turquoise",0.544,-0.169,"status_Tumor",0.092
"SERTAD4","turquoise",0.544,-0.157,"status_Tumor",0.086
"NTRK2","turquoise",0.544,-0.14,"status_Tumor",0.076
"USP2","turquoise",0.543,-0.391,"status_Tumor",0.212
"MATN2","turquoise",0.543,-0.247,"status_Tumor",0.134
"L1CAM","turquoise",0.543,-0.163,"status_Tumor",0.089
"KCTD12","turquoise",0.543,-0.056,"status_Tumor",0.031
"CTNND2","turquoise",0.542,-0.141,"status_Tumor",0.077
"HDC","turquoise",0.541,-0.362,"status_Tumor",0.196
"KCND3","turquoise",0.541,-0.221,"status_Tumor",0.12
"HAS1","turquoise",0.54,-0.138,"status_Tumor",0.075
"BAG2","turquoise",0.54,-0.086,"status_Tumor",0.047
"FGF5","turquoise",0.54,0.037,"status_Tumor",0.02
"RIMS3","turquoise",0.539,-0.272,"status_Tumor",0.146
"ART4","turquoise",0.539,-0.122,"status_Tumor",0.066
"CPA3","turquoise",0.538,-0.255,"status_Tumor",0.138
"NR4A3","turquoise",0.537,-0.255,"status_Tumor",0.137
"SCN3A","turquoise",0.537,-0.244,"status_Tumor",0.131
"APCDD1L","turquoise",0.536,-0.158,"status_Tumor",0.085
"TMEM200C","turquoise",0.536,-0.096,"status_Tumor",0.051
"KCNG1","turquoise",0.535,-0.079,"status_Tumor",0.042
"ADIPOQ","turquoise",0.533,-0.326,"status_Tumor",0.174
"FAM163A","turquoise",0.533,-0.211,"status_Tumor",0.113
"HOXB4","turquoise",0.533,-0.15,"status_Tumor",0.08
"PPFIA2","turquoise",0.533,0.047,"status_Tumor",0.025
"SH3GL2","turquoise",0.531,-0.488,"status_Tumor",0.259
"CHD5","turquoise",0.531,-0.161,"status_Tumor",0.085
"SERPINE2","turquoise",0.531,-0.031,"status_Tumor",0.016
"PPP1R3G","turquoise",0.53,-0.314,"status_Tumor",0.166
"SLC14A1","turquoise",0.53,-0.163,"status_Tumor",0.086
"BRINP3","turquoise",0.53,-0.105,"status_Tumor",0.055
"CLGN","turquoise",0.529,-0.19,"status_Tumor",0.1
"PCDHA10","turquoise",0.529,-0.146,"status_Tumor",0.077
"LRRC55","turquoise",0.528,-0.035,"status_Tumor",0.019
"CERS4","turquoise",0.527,-0.281,"status_Tumor",0.148
"SLC30A8","turquoise",0.527,-0.226,"status_Tumor",0.119
"KIF1A","turquoise",0.527,-0.192,"status_Tumor",0.101
"TMEM179","turquoise",0.527,-0.153,"status_Tumor",0.081
"TMEM25","turquoise",0.526,-0.366,"status_Tumor",0.193
"CLSTN2","turquoise",0.526,-0.204,"status_Tumor",0.107
"RAB34","turquoise",0.524,-0.119,"status_Tumor",0.062
"HOPX","turquoise",0.524,-0.099,"status_Tumor",0.052
"PCSK1","turquoise",0.523,-0.205,"status_Tumor",0.107
"CFD","turquoise",0.522,-0.502,"status_Tumor",0.262
"PTPRN","turquoise",0.521,-0.221,"status_Tumor",0.115
"SACS-AS1","turquoise",0.52,-0.124,"status_Tumor",0.065
"MACROH2A2","turquoise",0.518,-0.229,"status_Tumor",0.119
"DIO3OS","turquoise",0.518,-0.196,"status_Tumor",0.101
"ZNF43","turquoise",0.518,-0.143,"status_Tumor",0.074
"TYRP1","turquoise",0.518,0.062,"status_Tumor",0.032
"TRPM3","turquoise",0.517,-0.161,"status_Tumor",0.083
"KCNS3","turquoise",0.517,-0.117,"status_Tumor",0.06
"ZFP92","turquoise",0.517,0.036,"status_Tumor",0.019
"PCDHGA7","turquoise",0.516,-0.118,"status_Tumor",0.061
"PTGDS","turquoise",0.515,-0.257,"status_Tumor",0.132
"CDKN1C","turquoise",0.515,-0.229,"status_Tumor",0.118
"PTPRT","turquoise",0.515,-0.1,"status_Tumor",0.051
"CYP39A1","turquoise",0.514,-0.207,"status_Tumor",0.107
"LOC112267871","turquoise",0.513,-0.317,"status_Tumor",0.163
"LINC00472","turquoise",0.513,-0.075,"status_Tumor",0.038
"PDGFD","turquoise",0.512,-0.241,"status_Tumor",0.123
"LINC02587","turquoise",0.512,-0.032,"status_Tumor",0.016
"LRRTM3","turquoise",0.51,-0.207,"status_Tumor",0.105
"BEX1","turquoise",0.51,-0.199,"status_Tumor",0.101
"PHYHIPL","turquoise",0.509,-0.097,"status_Tumor",0.049
"PCDHB3","turquoise",0.509,-0.029,"status_Tumor",0.015
"KCNQ4","turquoise",0.508,-0.17,"status_Tumor",0.087
"C4B","turquoise",0.508,0.142,"status_Tumor",0.072
"COL15A1","turquoise",0.508,0.106,"status_Tumor",0.054
"BEX2","turquoise",0.507,-0.263,"status_Tumor",0.134
"ETNK2","turquoise",0.507,-0.162,"status_Tumor",0.082
"PEG10","turquoise",0.507,-0.098,"status_Tumor",0.05
"C2orf74-DT","turquoise",0.507,-0.096,"status_Tumor",0.049
"SHC2","turquoise",0.506,-0.126,"status_Tumor",0.064
"SLITRK6","turquoise",0.505,-0.263,"status_Tumor",0.133
"WASF1","turquoise",0.505,-0.075,"status_Tumor",0.038
"DPYSL4","turquoise",0.505,0.053,"status_Tumor",0.027
"LINC02251","turquoise",0.505,-0.029,"status_Tumor",0.015
"ZNF229","turquoise",0.504,-0.226,"status_Tumor",0.114
"ABCB1","turquoise",0.504,-0.158,"status_Tumor",0.08
"C4A","turquoise",0.504,0.141,"status_Tumor",0.071
"LOC101928266","turquoise",0.504,-0.137,"status_Tumor",0.069
"SLC9A7P1","turquoise",0.504,0.006,"status_Tumor",0.003
"FUZ","turquoise",0.503,-0.267,"status_Tumor",0.134
"TAC3","turquoise",0.503,-0.185,"status_Tumor",0.093
"LINC00654","turquoise",0.503,-0.029,"status_Tumor",0.014
"RGN","turquoise",0.502,-0.285,"status_Tumor",0.143
"HTR2B","turquoise",0.502,-0.135,"status_Tumor",0.068
"TRIL","turquoise",0.502,-0.118,"status_Tumor",0.06
"CCDC180","turquoise",0.502,-0.019,"status_Tumor",0.01
"ZNF665","turquoise",0.501,-0.131,"status_Tumor",0.066
"PDE10A","turquoise",0.501,0.002,"status_Tumor",0.001
"KCNJ12","turquoise",0.5,-0.168,"status_Tumor",0.084
"SPTBN4","turquoise",0.5,-0.164,"status_Tumor",0.082
"TFPI2","turquoise",0.5,-0.046,"status_Tumor",0.023
"CHAT","turquoise",0.499,-0.23,"status_Tumor",0.115
"IGFN1","turquoise",0.499,0.182,"status_Tumor",0.091
"LANCL3","turquoise",0.498,-0.327,"status_Tumor",0.163
"ZNF285","turquoise",0.498,-0.225,"status_Tumor",0.112
"ST8SIA2","turquoise",0.498,0.149,"status_Tumor",0.074
"CREB5","turquoise",0.498,-0.074,"status_Tumor",0.037
"MYO16","turquoise",0.498,-0.052,"status_Tumor",0.026
"CTTNBP2","turquoise",0.497,-0.248,"status_Tumor",0.123
"CPAMD8","turquoise",0.497,-0.155,"status_Tumor",0.077
"WNT6","turquoise",0.496,-0.29,"status_Tumor",0.144
"UST","turquoise",0.496,-0.234,"status_Tumor",0.116
"FZD8","turquoise",0.496,-0.047,"status_Tumor",0.023
"RGS11","turquoise",0.495,-0.265,"status_Tumor",0.131
"FZD10-AS1","turquoise",0.495,-0.189,"status_Tumor",0.094
"NPTX2","turquoise",0.495,-0.134,"status_Tumor",0.066
"CD109","turquoise",0.495,-0.005,"status_Tumor",0.003
"CNTN3","turquoise",0.494,-0.273,"status_Tumor",0.135
"THSD4","turquoise",0.493,-0.333,"status_Tumor",0.164
"CCDC106","turquoise",0.492,-0.263,"status_Tumor",0.13
"ENTREP2","turquoise",0.492,-0.249,"status_Tumor",0.123
"VSTM2L","turquoise",0.492,-0.179,"status_Tumor",0.088
"FSTL5","turquoise",0.492,-0.098,"status_Tumor",0.048
"CLEC3A","turquoise",0.49,-0.254,"status_Tumor",0.124
"SLC16A2","turquoise",0.49,-0.11,"status_Tumor",0.054
"GAMT","turquoise",0.489,-0.322,"status_Tumor",0.158
"RNF212","turquoise",0.489,-0.179,"status_Tumor",0.088
"CCN1","turquoise",0.489,-0.103,"status_Tumor",0.05
"DEPP1","turquoise",0.489,0.043,"status_Tumor",0.021
"CELF2-AS2","turquoise",0.487,-0.059,"status_Tumor",0.029
"ACOX2","turquoise",0.486,-0.345,"status_Tumor",0.167
"ZNF549","turquoise",0.486,-0.123,"status_Tumor",0.06
"CECR2","turquoise",0.486,-0.117,"status_Tumor",0.057
"ADGRB2","turquoise",0.486,-0.08,"status_Tumor",0.039
"ELAPOR2","turquoise",0.486,-0.051,"status_Tumor",0.025
"PCDHAC2","turquoise",0.486,-0.034,"status_Tumor",0.016
"NRN1","turquoise",0.485,-0.251,"status_Tumor",0.122
"LINC01088","turquoise",0.485,-0.226,"status_Tumor",0.109
"DNER","turquoise",0.484,-0.353,"status_Tumor",0.171
"TPSAB1","turquoise",0.484,-0.281,"status_Tumor",0.136
"CAPN6","turquoise",0.484,-0.13,"status_Tumor",0.063
"SELENOP","turquoise",0.483,-0.335,"status_Tumor",0.162
"DCHS2","turquoise",0.482,-0.207,"status_Tumor",0.1
"RIMS2","turquoise",0.482,-0.112,"status_Tumor",0.054
"SLC7A2","turquoise",0.482,-0.08,"status_Tumor",0.039
"MAL","turquoise",0.481,-0.553,"status_Tumor",0.266
"ARC","turquoise",0.481,-0.345,"status_Tumor",0.166
"THRB","turquoise",0.48,-0.188,"status_Tumor",0.09
"TCF23","turquoise",0.48,0.14,"status_Tumor",0.067
"EFHC2","turquoise",0.479,-0.257,"status_Tumor",0.123
"PCDH11Y","turquoise",0.479,-0.187,"status_Tumor",0.089
"GLDN","turquoise",0.479,-0.11,"status_Tumor",0.053
"EML5","turquoise",0.478,-0.243,"status_Tumor",0.116
"PLPPR5","turquoise",0.478,-0.142,"status_Tumor",0.068
"KLHL14","turquoise",0.478,-0.105,"status_Tumor",0.05
"LINC01116","turquoise",0.478,-0.062,"status_Tumor",0.029
"ZBTB10","turquoise",0.478,0.043,"status_Tumor",0.02
"IQCN","turquoise",0.477,-0.261,"status_Tumor",0.125
"CLCNKB","turquoise",0.477,-0.126,"status_Tumor",0.06
"AQP1","turquoise",0.477,-0.097,"status_Tumor",0.046
"FBXO27","turquoise",0.476,-0.275,"status_Tumor",0.131
"PHLDA3","turquoise",0.476,-0.114,"status_Tumor",0.054
"B4GALNT1","turquoise",0.476,0.02,"status_Tumor",0.01
"P3H2","turquoise",0.475,-0.307,"status_Tumor",0.146
"PROS1","turquoise",0.475,-0.076,"status_Tumor",0.036
"CHGB","turquoise",0.472,-0.259,"status_Tumor",0.122
"IGSF1","turquoise",0.472,-0.156,"status_Tumor",0.074
"CELF4","turquoise",0.472,-0.144,"status_Tumor",0.068
"SPIRE1","turquoise",0.472,-0.079,"status_Tumor",0.037
"PCP4","turquoise",0.471,-0.228,"status_Tumor",0.107
"ARHGEF4","turquoise",0.47,-0.212,"status_Tumor",0.1
"SCD5","turquoise",0.47,-0.155,"status_Tumor",0.073
"ZNF606-AS1","turquoise",0.47,-0.099,"status_Tumor",0.047
"JPH3","turquoise",0.469,-0.219,"status_Tumor",0.103
"ENAM","turquoise",0.468,-0.272,"status_Tumor",0.127
"PTPRZ1","turquoise",0.467,-0.293,"status_Tumor",0.137
"NUPR1","turquoise",0.467,-0.261,"status_Tumor",0.122
"RBM11","turquoise",0.467,-0.233,"status_Tumor",0.109
"GLP1R","turquoise",0.467,-0.15,"status_Tumor",0.07
"ZNF256","turquoise",0.466,-0.18,"status_Tumor",0.084
"FABP3","turquoise",0.465,-0.071,"status_Tumor",0.033
"TPSB2","turquoise",0.464,-0.255,"status_Tumor",0.118
"KIF19","turquoise",0.464,-0.178,"status_Tumor",0.083
"ACADL","turquoise",0.463,-0.395,"status_Tumor",0.183
"UNC13C","turquoise",0.463,-0.18,"status_Tumor",0.083
"KIF6","turquoise",0.463,-0.118,"status_Tumor",0.055
"NMNAT2","turquoise",0.463,-0.035,"status_Tumor",0.016
"C1GALT1C1L","turquoise",0.463,-0.024,"status_Tumor",0.011
"LRAT","turquoise",0.462,-0.285,"status_Tumor",0.132
"GNA14","turquoise",0.462,-0.064,"status_Tumor",0.03
"SFTPD","turquoise",0.461,-0.263,"status_Tumor",0.121
