"gene","module","MM","GS","GS_trait","hubScore"
"CALD1","turquoise",0.837,-0.153,"status_Tumor",0.128
"SCN4B","turquoise",0.836,-0.314,"status_Tumor",0.262
"SYNM","turquoise",0.834,-0.303,"status_Tumor",0.253
"C7","turquoise",0.834,-0.288,"status_Tumor",0.24
"ATP8B2","turquoise",0.834,-0.245,"status_Tumor",0.204
"PRIMA1","turquoise",0.833,-0.41,"status_Tumor",0.342
"ZNF853","turquoise",0.833,-0.25,"status_Tumor",0.208
"DCLK1","turquoise",0.832,-0.246,"status_Tumor",0.205
"REEP2","turquoise",0.831,-0.271,"status_Tumor",0.225
"ABCA8","turquoise",0.83,-0.352,"status_Tumor",0.292
"CPE","turquoise",0.83,-0.344,"status_Tumor",0.285
"SSC5D","turquoise",0.83,-0.183,"status_Tumor",0.152
"RSPO1","turquoise",0.829,-0.291,"status_Tumor",0.241
"ROR2","turquoise",0.829,-0.236,"status_Tumor",0.196
"BNC2","turquoise",0.829,-0.145,"status_Tumor",0.12
"RUNX1T1","turquoise",0.829,-0.12,"status_Tumor",0.1
"TMEM252","turquoise",0.828,-0.36,"status_Tumor",0.298
"PDZRN3","turquoise",0.828,-0.309,"status_Tumor",0.256
"LINC03007","turquoise",0.828,-0.286,"status_Tumor",0.237
"ITGA9","turquoise",0.828,-0.223,"status_Tumor",0.184
"FGFR1","turquoise",0.828,-0.179,"status_Tumor",0.148
"MEF2C-AS1","turquoise",0.827,-0.383,"status_Tumor",0.317
"ADCY2","turquoise",0.827,-0.242,"status_Tumor",0.201
"GALNT16","turquoise",0.827,-0.227,"status_Tumor",0.188
"GPM6A","turquoise",0.826,-0.389,"status_Tumor",0.321
"LOC107985177","turquoise",0.826,-0.299,"status_Tumor",0.247
"MICU3","turquoise",0.826,-0.293,"status_Tumor",0.242
"ZBTB16","turquoise",0.825,-0.391,"status_Tumor",0.322
"KCNT2","turquoise",0.825,-0.191,"status_Tumor",0.158
"MAP1A","turquoise",0.825,-0.098,"status_Tumor",0.081
