"gene","module","MM","GS","GS_trait","hubScore","cox_HR","cox_p"
"IL11","red",0.254,0.059,"Leukocyte_pct",0.015,1.032,0.414
"PAEP","red",0.249,-0.021,"Leukocyte_pct",0.005,1.088,0.0326
"ACTBL2","red",0.226,0.027,"Leukocyte_pct",0.006,0.965,0.465
"LAMA1","red",0.224,0.055,"Leukocyte_pct",0.012,1.073,0.0903
"CST4","red",0.223,-0.089,"Leukocyte_pct",0.02,1.019,0.666
"TNFSF9","red",0.222,0.132,"Leukocyte_pct",0.029,0.985,0.725
"WNT7B","red",0.193,-0.07,"Leukocyte_pct",0.013,1.015,0.68
"SIX1","red",0.191,0.047,"Leukocyte_pct",0.009,1.019,0.68
"ESM1","red",0.183,-0.204,"Leukocyte_pct",0.037,1.06,0.316
"KRT17","red",0.183,-0.037,"Leukocyte_pct",0.007,1.004,0.88
"MELTF","red",0.181,-0.162,"Leukocyte_pct",0.029,0.975,0.62
"ERFE","red",0.176,-0.022,"Leukocyte_pct",0.004,1.045,0.442
"GJB4","red",0.167,0.061,"Leukocyte_pct",0.01,0.984,0.707
"MDFI","red",0.161,0.014,"Leukocyte_pct",0.002,0.95,0.449
"EGFL6","red",0.159,0.144,"Leukocyte_pct",0.023,1.036,0.508
"KRT80","red",0.155,-0.17,"Leukocyte_pct",0.026,1.023,0.596
"ANXA8","red",0.127,0.073,"Leukocyte_pct",0.009,1.082,0.0253
"LAMC2","red",0.116,0.012,"Leukocyte_pct",0.001,1.016,0.767
"ANXA8L1","red",0.108,0.057,"Leukocyte_pct",0.006,1.077,0.0524
